metabolite_identification	4	9	12	13	14	20	24	26	27	31	34	36	38	39	40	41	43	42	44	46	47	48	56	61	63	64	66	67	68	69	70	71	72	74	78	79	83	18	1	45	62	84	IRA	CM	CE	SG	80	82	89	94	95	97	99	101	98	104	106	108	109	111	AA	RI	POS 2	POS 3	POS 4	POS 6	POS 8	POS 9	POS 12	POS 13	93	POS 14	POS 15	POS 16	125	126	127	129	130	132	134	136	138	139	A	B	C	D	AI	EA	EB	EM	MC	MM	NC rep	SC rep	ST rep	SA 1	SA 2	SA 3	SA 4	SA 5	SA 6	SA 7	SA 8	SA 9	SA 10	SA 11	SA 12	SA 13	NEG 5	NEG 6	NEG 12	NEG 16	NEG 19	NEG 20	NEG 21	NEG 22	NEG 26	NEG 28	NEG 29	NEG 30	NEG 32	NEG 35	NEG 37	NEG 46	DA 1	DA 2	DA 3	DA 4	DA 5	DA 6	DA 7	DA 8	DA 9	DA 10	DA 11	DA 12	DA 13	DA 14	DA 17	DA 18	DA 21	RIA 1	RIA 2	DA 20	DA 26	DA 24	DA 28	DA 25	DA 23	DA 39	DA 40	DA 41	DA 42	DA 43	DA 44
O-methoxycarbonyl-(9H-fluoren-9-yl)methanol	0.883963649	0.903879164	0.832027011	0.651488274	0.880121671	0.94930925	0.961779244	0.951072851	1.006530747	0.950108781	0.620017968	0.883654323	0.872581973	0.983223589	0.970228694	0.898726558	0.947276034	0.906671371	0.657667286	0.922787917	0.895933915	1.540971114	0.897271038	0.899446645	1.000450295	1.471480773	1.643450544	1.1024748	1.059239877	1.079428394	0.977140056	1.032187304	1.082274806	1.113539965	1.034149542	1.097641623	1.015131413	1.368014947	1.137100978	1.664966385	1.811398792	1.994878137	2.036682311	1.638742441	1.4625965	0.634391551	0.826966762	1.060881739	1.139165804	1.295283143	1.561099213	0.860174657	0.799103985	2.018894522	1.494326139	1.629444741	1.724833454	1.473860665	0.707007531	1.505728174	0.666897783	1.092094378	1.692209476	1.765942258	2.004368232	1.552210099	1.374361169	1.37167294	1.655859527	1.682044302	1.419020842	1.49264872	1.49212664	1.848936758	1.532968264	0.924614646	1.66860641	1.673437682	2.033814194	1.430783408	0.91681451	1.936825143	1.796820789	1.685467299	1.07441661	1.006606101	0.957819094	0.760532149	1.453612632	1.517058045	1.490785499	1.492619346	1.641371378	1.661976565	1.443044234	1.339997359	1.289535249	1.009047089	1.039488907	1.061317432	1.028303589	1.054133201	1.072389913	1.101065802	1.001084631	1.068541703	1.012461794	1.101195488	0.995928997	1.066539196	2.027201637	2.225428266	1.899696628	1.550529563	1.315942665	1.073437898	1.608387389	0.834927483	1.45562748	0.776377317	1.440037443	1.345521614	1.653228777	0.829365002	1.693029563	1.793500025	1.121103878	1.672995271	1.738490561	1.390599385	1.4238803	1.563472943	1.607400057	1.061612589	1.887197262	1.360057812	2.199561907	2.345752622	2.12763924	1.603145344	1.163415136	2.145316007	2.188642501	1.566466277	1.661045806	1.786638939	1.235084591	2.129060042	2.640926773	1.978909769	2.419707809	1.570722757	0.791153687	1.393839957	0.705892497	0.786326997	1.574117027
"(R*,S*)-2,3-Dihydroxybutanoic acid"	1.332158869	2.17208531	2.89225488	11.41893727	0.778975626	5.717112369	5.017289963	4.246865748	5.725004505	8.899040235	2.447514511	4.426406004	8.784160137	3.384170861	2.814138131	7.848771921	1.468734463	0.877946497	3.440860898	3.22892711	5.612087401	6.921316918	6.320895417	3.775002805	2.843698793	1.98995758	25.28530643	6.072143256	0.575441552	3.06369291	4.617405424	3.090959283	2.367424668	4.325564162	2.237376395	2.154737291	3.766371854	6.437969592	1.923147639	4.884220669	4.976250852	6.052285344	26.04461601	3.233492211	3.942039906	0.353099488	0.491457184	1.963499327	7.969027582	8.857659039	2.281533214	1.03979048	2.351343766	20.29180146	3.876583308	6.24715603	21.22227773	0.990105867	1.069174679	16.15052925	0.842260035	2.849357823	3.920984678	33.4217728	3.567432333	3.335749475	2.984584536	1.132649848	23.34180466	3.340316023	0.641547723	8.205355143	1.5955952	1.991265816	8.278577201	0.259765738	16.65292188	2.731967888	10.38583869	3.215197322	1.236190788	4.893086917	23.28105286	3.716050482	0.742739482	1.05180539	0.356630912	0.440521849	3.254221531	8.204556069	0.271018823	2.534076488	6.277322465	2.336763728	0.834859959	0.413820091	2.224930181	2.011896444	1.559365894	0.987290548	1.000511796	2.111931697	2.16192444	0.112237214	0.694269149	2.191156839	5.979325947	0.67471043	0.619941159	1.044038126	1.426986134	13.84647268	3.257387075	1.471651668	1.868019642	1.949302365	5.622851695	1.317071924	6.257010206	0.442079871	0.789694761	2.415253609	47.67975296	1.357155851	4.71320942	3.594797727	0.303990679	1.868084328	7.169904114	2.734641862	1.909225876	3.916284034	46.15011341	3.27730014	4.996527861	1.344178409	21.56012332	9.992402195	4.287172703	2.413817192	14.31909427	7.067496036	5.070549678	4.033549291	11.78898602	1.83453539	2.866005594	3.150340997	2.05701819	17.71830316	8.736000818	6.720504141	3.837787825	1.473727583	1.514138246	1.190344167	14.40857845
(Z)-Docos-9-enenitrile	0.35147137	1.243110492	1.151473415	2.374329319	1.773938827	0.876165039	0.613015931	0.698729723	1.009898532	1.504377573	0.751064165	0.811336436	0.348047566	0.898560848	0.995546063	0.642911407	0.779006232	0.852727831	1.016072451	0.854745103	1.264799513	3.259607125	1.356144029	1.317858642	1.345744082	1.254369078	1.444794429	1.757659602	0.972511347	1.201815005	1.251296592	1.528257863	1.540308499	1.445729131	1.584156464	1.224262621	1.53588327	1.240825103	1.376148542	1.512059785	1.315680227	1.825002841	2.019883699	2.59574892	1.219691525	1.120494907	0.798748458	1.112836494	1.188994832	1.002562746	2.065863972	1.736645721	1.376904353	1.748186233	1.71461644	1.601514567	2.209806623	1.727952885	1.222024213	1.85535867	1.452606907	2.26462188	1.538199081	2.039332515	1.796271889	0.915788484	1.224656029	1.137806541	1.293509087	1.793775581	0.934909378	1.393512875	1.205418095	1.579509875	1.196397863	1.711409839	2.04101132	1.464628518	2.166224447	1.868618142	1.004054634	2.553694387	1.480513906	2.463565069	0.626126033	0.373149459	0.499225251	0.638885581	1.49445376	1.239537584	1.181733513	1.007618515	0.887558618	0.735912615	1.481845081	1.831022334	1.665163317	0.440702584	0.628945016	0.543284533	0.665910976	0.396826601	0.400035506	0.280291387	0.620630507	0.36760794	1.392293209	0.549670918	0.379475765	0.670711772	1.95229761	2.53994067	1.380559407	1.714024636	2.697461569	2.703830833	2.606576384	2.551300373	1.367362121	1.653605242	1.906538454	1.520926673	2.091714686	1.047427221	1.342864203	2.561567557	1.358752731	1.784477204	1.756755078	2.039836324	1.446427476	2.072412188	0.459757057	0.265284991	2.207427066	2.389819113	2.705898597	2.737450932	1.713180212	3.426153442	2.165072662	1.921314709	3.576521984	2.19170878	1.019331988	2.669530929	1.737822248	2.711574882	1.677001326	2.160531707	2.962941424	1.580553128	1.144782293	1.117376536	1.480877849	1.235490739	1.703318531
"1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine"	0	0.474182561	0.608532375	0.040055311	0.961687616	0.014015679	0.734243997	2.349962422	2.75257395	2.521456297	0.54047147	2.694782606	0.01761842	0.704135522	0.021098561	0.576274329	0.31094575	2.507676171	2.866016686	0.416539985	0.802596773	0	0	0.423726417	0.456121995	0	0	0	0	0.478851202	0.438614338	0.455993355	0.456072629	0.437144219	0.453792652	0.446185924	0.023999695	4.282650149	0.422231702	0.033301862	0.222975187	0	0	0	0	0.760265798	0	0	1.407113818	1.465982846	0	0	1.271658192	0	0	0	0	0.1349526	1.605579382	0	0.01912823	0.109626564	0	0	0	0	0	0	0	0	0	0	0	0	0	0.536400191	0	0	0	0	0.107135008	0	0	0	0.035997363	0.040444359	1.301686173	1.296147539	0.509605861	3.351860056	3.288255025	1.928642169	0.520226635	0.521178613	0.513255485	2.107311908	0.531293379	3.196415352	3.037909314	0.69168305	2.894541956	2.83261936	0.700725914	2.755318325	0.818506506	2.718123318	1.67714393	2.760549361	0.803177097	0	0	0	0	0	0	0	0	0.329781539	0	0.496475008	0.551080771	0.185715707	0	0.065787483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.518597276	0	0.796977085	0	1.018376441	0	0	0	0	0.924568521	0
"1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester"	0.280121526	0.331634764	0.411521689	0.44090347	0.376915716	0.399175088	0.378417186	0.355046692	0.474778077	0.444391914	0.248290556	0.27827084	0.286119986	0.260249667	0.234882179	0.312073135	0.247549041	0.348685439	0.405158768	0.360700171	0.303968256	0.366569348	0.415031535	0.390954581	0.349921189	0.16882366	0.405624335	0.535099658	0.239684261	0.315265669	0.274680113	0.38739868	0.318720203	0.366787918	0.392310488	0.380614671	0.410859049	0.359363609	0.415875375	0.412034609	0.551296016	0.677064852	1.032743811	0.587767604	0.631532364	0.14663539	0	0.303345551	0.476792266	0.632812623	0.880612138	0.395719334	0.178824851	1.062138265	0.591433765	0.716868912	0.902120411	0.515190756	0.228161541	0.885507603	0.124334078	0.929277382	0.369992262	0.918851231	0.720751899	0.423901823	0.389729336	0.428156769	0.618266146	0.639530293	0.511596041	0.88947043	0.765796846	1.163246091	0.646528688	0.866981729	0.643211125	0.489203628	0.480861399	0.606249321	0.51962547	1.342836718	1.185827621	0.566458259	0.203370158	0.279841796	0.207035077	0.191280864	0.182917635	0.341308555	0.277402814	0.286444028	0.328421323	0.374561138	0.251022158	0.146870616	0.284858357	0.102464799	0.115994743	0.103198892	0.121317587	0.119239394	0.12169505	0.126742	0.536991539	0.151857444	0.267765364	0.128427528	0.088454279	0.137528927	0.896044578	0.72146658	0.848637179	0.723638741	0.531193753	0.274467974	1.019683267	0.093555432	0.306615244	0.057817259	0.56657039	0.396336218	0.924188663	0.452502252	0.939797428	0.48055659	0.290028157	0.525552736	0.138230377	0.809056971	0.494617405	0.64046377	0.573057288	0.826363119	0.67918123	0.445050183	0.968464127	0.813511115	0.786011003	0.6489961	1.039625761	0.878879411	0.518744558	1.610426303	1.753418801	0.512064706	0.561057966	0.529553457	0.413337443	0.916329562	0.705070587	0.876497416	0	0.86235335	0.804941903	0.210540444	0.685622906
"1,2-Cyclohexanedicarboxylic acid, 2-methylpent-3-yl nonyl ester"	0.850463314	1.230538193	0.688555896	2.973853931	0.944355885	0.628928601	0.881517943	0.480252209	0.567992283	1.729063016	0.548490456	0.561443861	0.545043372	0.543494759	0.986125181	0.495031941	0.821738263	0.443977656	0.500234802	0.962195713	0.93619851	1.129650266	1.587094305	0.470018305	0.872524802	0.645527586	1.131991303	0.712935939	0.646669675	1.131605232	0.646371147	1.097812778	0.861114036	1.112950468	0.91050491	0.717564941	1.09527131	1.095539247	1.030472732	0.721245875	0.717722214	0.72299651	0.719019121	0.626913782	0.500444314	0.502552036	0.33437389	0.552554765	0.634379246	0.603907075	0.745486313	0.864527146	0.429591506	0.758926894	1.099389315	0.500434135	0.524741706	0.598725656	0.53969855	1.266752856	0.516599369	1.381988746	1.112252274	1.088593554	1.161851027	0.609555463	0.934735137	0.395259169	0.683937944	0.715959261	0.665525818	0.684585343	0.779102181	0.867994883	0.858372872	0.913265238	0.938027289	1.255936765	0.846823759	0.881162183	0.984608772	1.099717478	1.031801623	1.053367725	0.859866611	0.758193866	0.497977361	0.634572825	0.908878721	1.012287464	1.130549476	0.951279675	1.103773239	1.07857134	0.80674709	0.942829241	0.902832636	0.758864634	1.073368321	0.978093022	0.772589116	1.058732247	1.060179507	1.034374595	1.105036013	1.111123575	0.913303603	0.852387272	0.951742601	1.088110734	0.872306712	0.916063211	0.739381474	0.729048572	0.764421451	0.68451521	0.807108499	0.899448645	0.695566521	0.917574377	0.643101178	0.615170131	0.90285964	0.798819186	0.85392449	1.031359133	0.515350482	0.870703296	0.716043129	0.709576128	1.026860496	0.813489502	0.743785632	0.777057883	0.92589414	0.822633818	0.946984767	0.936185781	0.780985111	0.861554476	1.206283607	0.696192855	1.60110522	0.775547248	0.823589826	1.490936407	0.99152665	1.477157761	1.061270755	1.496294171	1.714739585	0.525527359	0.37893718	0.52311711	0.605083402	1.007048718	0.56006776
"1,2-Cyclohexanedicarboxylic acid, nonyl 4-octyl ester"	1.331853558	0	0.618604619	0.407457189	0	0	0	0	0	0.361723807	0.441341429	0.696612717	0.797461447	0.568827864	0.773561173	0	0.453715998	0.874951197	0.75161817	0	0	0.811529454	0.662379063	0.444262689	0.864534904	0	0.297490277	0.231182542	0.158497863	1.353300651	0.068084538	0.815811359	0.352850025	0.537479893	0	0	0.36037394	1.674192142	0.669650017	0	0.318719001	0.090578965	0	0	0.296760682	0.29721859	0	0	0	0.131322886	0	0	0.186108629	0	0	0.188761549	0.42600177	0.454759929	0.465637654	0.806065812	0	0.753661718	0.22557229	0	0.718816348	0.250477936	0.125131605	0	0	0	0.481717574	0.293343333	0.173788628	0.339340887	0.115565052	0.685760275	0.407996148	0.311816635	0	0.384315653	0.425576604	0	0	0	0	0.527614026	0.54964171	0.471697071	1.897417161	0.547531798	3.113564206	2.338978448	0.990131901	0	1.100508725	1.395568977	0.738309368	1.200518329	0.960670585	0.431608742	0.676034081	1.299535997	0.629925008	0.576440253	0	0.567576204	0.295699531	0.392196404	0.565586024	0.283872215	0	0	0	0.307865852	0.518201308	0.537390401	0.783668276	0	0	1.014204962	0.17387566	0.244674219	0.182893962	0	0.579736755	0.180201135	0	0.216208459	0	0	0	0.988795494	0.623881952	0	0	0	0	0.395329085	0	0	0	0	0.871979503	0.187425697	0.12130177	0.639381651	1.095463025	0.780561296	0	0	1.003885149	0	0.052506969	0	0.553704067	0.899004136	0.265878301
"1,2-Ethenediol"	1.200930713	1.750074884	0.717614415	2.99384387	1.38462559	2.418087828	1.972922202	0.88970564	2.148393789	3.439863527	0.54659302	0.833867516	0.536924095	0.813353588	1.152418949	0.562049779	0.671549288	0.375869022	0.822167209	0.977173569	0.750517451	0.941610608	1.023827194	0.742513315	1.392776588	0.905728629	1.204207106	1.124086125	1.534637907	0.806647764	0.602185171	1.002490444	1.741523968	1.052098471	1.150076428	0.902761653	0.879589443	2.145129643	1.818318529	0.405090455	0.272104547	0.233606325	0.276532017	0.256017712	0.062349095	0.25115451	0	0.067620755	0.116614383	0.085632744	0.042178173	0.117265434	0.061539253	0.239184953	0.359796792	0.074837347	0.425995317	0.133296856	0.160455765	0.322735496	0.052365049	0.102480517	0.569266407	0.308301168	0.419280472	1.937189578	2.072286892	0.437136008	0.546744432	1.072696423	0.921092211	0.624191521	0.983220753	1.07307639	0.284272181	1.008925961	1.441394611	2.505552936	1.656222381	3.286956191	2.400049872	3.666589652	2.492326238	1.243378732	0.62645326	0.555870875	0.421354059	0.140668155	1.264469132	2.145863476	0.997175189	0.810775581	0.951872164	0.904263929	0.66331965	0.728223348	2.475627485	2.087188367	2.868757477	1.78328333	2.104527967	0.67445967	0.725903057	0.811701305	1.24559204	2.998180429	2.691592562	1.541906332	2.02044065	2.124452334	0.281704874	0.677296072	0.106887676	0.359992386	0.249296554	0.503013906	3.338296805	1.314730865	0.514967498	0.324010891	0.121260701	0.108588404	0.58382524	0.520875845	0.811056595	0.985492713	0.116447545	0.071414551	0.381958216	0.61211566	0.069851061	1.657746729	1.614006574	0.402326669	0.209040767	1.356571879	0.498223853	0.888468196	0.220119321	0.085602049	0.379045364	0.347122851	3.28950805	1.155487312	0.997383228	0.51204653	0.558917406	0.346293887	0.372674591	0.285321272	0.395121255	0	0.147732408	0.018715363	0.033157827	0.062652233	0.119766191
"1,4-Benzenedicarboxylic acid, dimethyl ester"	1.704587101	0.832466312	2.347750412	2.026715723	2.325217355	2.720241697	3.603059035	1.626912616	2.729157263	1.816568939	1.414925883	3.772896449	3.543088379	2.798557564	1.826031438	1.585654745	2.322999332	2.282361296	2.803376162	0.105102361	2.538056677	1.531667781	0.477256747	0.374402624	0.148343712	0.09147458	0.193357519	0.109570164	0.111281546	0.121259941	0.42521405	0.090714063	0.728995779	0.344287136	0.610371567	0.503244586	0.572680918	0.185273059	0.090040851	0.2003257	0.098276023	0.100900346	0.216052418	0.078236801	0	0	0	0	0	0	0	0.071125694	0	0	0	0	0	0	0	0.060775827	0	0.065754889	0.203434903	0.27081405	0.149593942	0	0	0	0.151212741	0.097158112	0.047258156	0	0	0	0	0	0	0	0	0	0	0.111573486	0.043415598	0.073518011	2.762986661	0.741711246	1.251223209	1.514370234	0.254514445	0	0.818045407	0	0.050259044	0	0.169737757	0.196653198	0.215881479	1.033455902	0.682528171	1.053676666	0.551068524	0.099193662	0.586320169	1.001789646	0.435934284	1.262049909	0.662089073	0.723417025	0.559322708	1.266785284	0.189528185	0.245081688	0.224307783	0.248400814	0.279388731	0.715500756	2.236492824	1.16993109	0.057529905	0.039816029	0	0.112866804	0.070704012	0	0.14304316	0.106259527	0.496013446	0.18678764	0.199386853	0.311590355	0.411644413	0.121683749	0.099523817	0.126640272	0.419898097	0.584891733	0.488374343	0.444195374	0.25496121	0.499104352	0.111607066	0.218315793	0.198538428	0	0	0.188792445	0.103553192	0.276017884	0.243551858	0.314631754	0.230731708	0	0	0.191105844	0.292872652	0	0
"1,5-Anhydroglucitol"	0.89230682	1.011035233	1.08021985	1.394858495	1.125675947	1.063334011	1.035805229	1.060582324	1.388950053	1.724323312	1.118921311	1.17183252	1.332019814	1.025552788	1.051181155	1.142556339	0.999949845	0.983618151	1.077455431	1.067230397	0.979753753	0.651625093	1.060797204	0.889115771	1.033311625	1.377086858	0.783272292	1.417587284	1.470115598	1.381715589	1.062176069	1.079912383	0.926054842	0.901666299	1.044504071	0.957391119	1.178694821	1.317164221	1.44489102	1.324022561	1.412288875	1.51916803	1.389653622	1.345864304	0.898370812	0.667849889	0.509665156	0.579287802	1.265308026	1.215828722	1.061035363	0.955345739	0.762158464	1.579896809	1.404419878	1.615410694	1.397074579	1.27236668	1.127462654	1.855887262	0.565397994	1.381453095	1.784809466	0	1.45988024	1.434200541	1.362198025	1.206001197	0	1.252004254	0	1.216353232	0	0	0	0.965714943	1.958072105	1.52072121	1.107591772	0	1.347056893	1.697837512	0	0	1.299999322	0.971526439	1.033177533	0.909581849	1.104483348	1.267033257	1.145209794	1.144273371	1.715496625	1.440323899	0	1.396264693	1.184489159	0	0	0	1.178747422	1.151618398	0	1.431604682	1.158074009	1.414427257	0	0	1.11788832	1.16783847	1.211450515	0.928414476	1.329806975	1.567664973	1.511385533	1.293477225	0	0.894233336	0.82502677	0	0	0.757338671	0.818162223	0	1.495299435	1.16884579	1.201236111	1.19545257	1.281326198	1.496124367	1.469726699	0.506725144	1.155524448	1.489301732	1.263806475	1.3953885	1.493280799	1.433408976	1.19063173	1.281841578	1.303616955	1.085568102	0	0	1.329157047	0	1.276246809	0	1.740703983	1.734136706	0	0.520354462	0.440693813	0.906337088	1.164280944	0.826914103	1.000796849
