metabolite_identification	98	104	106	108	109	111	AA	RI	POS 2	POS 3	POS 4	POS 6	POS 9	POS 12	POS 13	DLMC 93	POS 8	4	9	12	14	20	24	26	27	31	34	36	38	39	40	41	42	43	44	46	47	48	56	61	63	64	66	67	68	69	70	71	72	74	78	79	83	1	18	45	84	62	80	82	89	94	95	97	99	101	CE	CM	IRA	SG	POS 14	POS 15	POS 16	125	126	127	129	130	132	134	136	138	139	AI	EA	EB	EM	MC	MM	NC	ST	SA 1	SA 2	SA 3	SA 4	SA 5	SA 6	SA 7	SA 8	SA 9	SA 10	SA 11	SA 12	SA 13	SC	A	B	C	D	DA 20	DA 23	DA 24	DA 25	DA 26	DA 28	DA 7	DA 39	DA 40	DA 41	DA 42	DA 43	DA 44	RIA 1	RIA 2	DA 18	DA 21	DA 4	DA 5	DA 6	DA 8	DA 9	DA 10	DA 11	DA 14	DA 17	DA 1	DA 2	DA 3	DA 12	NEG 6	NEG 20	NEG 21	NEG 22	NEG 28	NEG 29	NEG 30	NEG 32	NEG 35	NEG 37	NEG 46	NEG 5	NEG 16	NEG 12	NEG 19	NEG 26
FA(16:4)	1.090352342	1.602854722	1.809078815	1.269557398	1.32269071	3.045267031	0.464044759	0.955573489	1.387960676	0.513015157	3.150673498	1.371464096	1.110759809	1.163370591	1.287189933	1.636807953	1.092308382	2.690324043	2.058303654	2.382714214	1.972317879	4.376079258	2.452172993	2.475934906	2.570887065	2.058100648	2.768559761	2.713869682	1.96810771	2.530724374	2.113256504	2.721905874	2.371467031	2.620900454	2.391329275	0.435914262	2.247910119	2.810898422	1.906677479	0.670856061	0.445794194	0.820085478	0.579883974	0.489747547	0.359749109	0.697567177	1.957955949	0.725563912	0.43869349	1.923542665	4.064273072	3.6400436	1.729254463	1.387296122	1.932233514	2.225359936	2.298684831	1.939069928	1.482641372	1.368637046	0.809506871	1.641082902	1.107087905	1.123657047	0.839247284	2.155596263	1.584903695	1.819444342	1.564880079	1.170611091	3.976645222	3.680191604	4.226581987	3.468301933	4.357601488	4.199104209	3.889116655	3.608313369	3.284378964	3.079777885	3.22467639	3.838334213	3.825917306	0.734183424	0.693291537	0.69909594	0.768459644	1.321846687	0.596437599	0.622378768	0.481371129	4.955565758	3.798481895	3.780349878	3.732621976	4.15342455	5.269292387	3.753977994	3.520308296	4.220091488	4.273198507	5.019890155	4.234173927	4.64830973	0.889678719	3.876318597	2.576031867	2.439202144	2.279503084	2.497250633	4.482509899	1.454368627	1.118718752	3.471581783	1.869576888	2.112149404	1.480630102	1.404817198	0.961406523	1.791686611	2.658525292	1.121213598	2.664401902	3.607414254	3.921858504	5.333781163	3.254083251	2.431464313	3.080351216	3.726786895	2.382162415	2.506972409	2.490901003	3.459796753	1.990768331	2.890133137	2.99426521	3.37777695	2.438507438	2.643877661	2.641722959	2.754095331	2.617836071	2.72480723	3.080313213	2.472036026	2.263601057	4.260168182	0.500009698	0.257263298	1.92875416	1.88874622	1.696559253	2.21969838	2.379175517
FA(18:1)	3.749588627	4.736886019	3.354418062	2.484822154	2.593288759	3.511181568	1.091708361	3.791058167	0.99090239	4.508895881	4.540248483	3.80952803	1.198361473	5.042608729	6.320281255	1.494988865	3.519191411	2.24474187	1.283764768	4.505089881	1.930334181	3.594821344	3.097425529	3.099700333	4.19396296	4.350851908	4.981129689	2.559137284	6.012880485	2.17986232	1.869339592	4.615925365	3.454588559	1.672436747	2.035003239	1.454843281	1.543987875	7.875763279	7.779030409	1.553168975	1.501271271	3.916136782	1.96750693	3.544704007	1.074656864	2.422937025	2.640346381	2.586412293	2.496125522	5.312369264	1.689820071	4.448796839	4.868963506	1.877793421	2.837101605	2.991144498	1.580668738	1.302949373	3.962670823	2.868569106	5.039437266	3.186707674	3.266535458	2.996517908	2.127014471	4.881169575	1.499053596	2.105001053	4.439615154	1.729967801	5.087472481	3.512427769	5.406089767	3.551144166	2.153869029	4.337935606	3.272580377	7.437723571	2.694419999	2.606905003	5.420153539	3.537516217	2.540732872	1.655514168	1.211795808	1.039389867	1.253306121	1.5128394	0.724591216	1.89627603	1.337478839	0.593832207	0.972797303	0.308041944	1.87834289	0.608945134	0.713095059	0.990881147	1.066898052	1.388474532	2.432471754	0.566664647	0.767113894	0.248480487	0.682659176	0.672186044	0.448531538	0.420762405	0.529817851	4.273498528	21.34729083	3.504022777	4.660394897	13.09322959	3.123707165	6.590055453	8.045941654	10.69978195	3.476332998	3.09104797	5.346453767	2.798479921	4.977568681	1.524051676	7.565350619	5.8922932	7.599163844	6.921409017	9.005450408	4.911899559	3.958474086	4.031034215	8.927245393	7.111108231	5.625540043	2.469968454	7.431218352	3.976281785	11.1452425	10.19605343	2.254598518	1.829373289	2.417583883	1.759418539	1.737264839	2.08375492	1.771452081	4.329437534	3.340780958	4.223052038	1.721872727	2.905437225	2.626931374	1.852792047	4.976969817
FA(18:2)	1.169259553	0.968615071	2.541833591	0.796835334	1.224150375	0.896929914	0.28430561	1.085773959	0.436454932	0.937637634	1.390582016	1.213225422	0.339186934	1.004145462	2.379365448	0.415653785	1.187899497	0.554717795	0.47664101	1.247667555	1.159565926	1.335341575	1.311665155	3.13128551	0.954233437	2.286490203	2.396908193	0.690029832	5.070829945	0.606687713	0.882324864	1.174185206	1.203610959	0.586453019	0.800207616	0.57433351	0.595931081	3.264981676	2.9832268	0.698220687	0.850546914	1.31932551	0.790021025	2.288574183	0.425226619	0.703062826	0.806777366	0.724965614	0.838090319	2.07387497	0.492451755	0.971857968	0.952186228	0.762499246	0.906939945	1.06565433	0.962837846	0.549365311	1.7608673	1.020534246	2.169802022	1.339435102	0.709834095	1.197492925	1.035736511	1.079552144	0.550681424	0.813740437	2.873444313	0.862832716	1.680645981	1.337791206	4.02503688	1.120185301	0.576668287	1.648194988	0.808347195	1.699542687	0.931117165	0.679938059	2.919743553	1.375404067	0.75255295	0.788641241	0.279950286	0.313021178	0.484113123	0.467671871	0.178029436	0.857232051	0.329565861	0.203736903	0.312941899	0.101699576	0.751838696	0.170357441	0.223251095	0.628573556	0.463782894	0.623905785	0.64181297	0.175018102	0.261118282	0.083779948	0.278898686	0.478917213	0.164632461	0.150502858	0.165084403	1.553903381	12.68016528	1.298355347	1.927678454	10.55371788	1.058979945	1.765834947	3.230632509	4.139278934	1.093985799	1.178738127	4.537887908	0.773115806	1.232377095	0.442287331	2.1438156	2.189592683	3.181118031	2.93510438	4.468865707	4.386666535	4.187563962	3.655300739	7.57954466	6.646054315	1.46300908	1.082574105	2.94578795	1.724036062	5.316667205	4.976583203	0.721392147	0.662757065	0.66748074	0.569388896	0.603436424	0.721360563	0.823446823	1.361757919	1.107841757	0.946274142	0.560960876	0.836632431	1.423049906	0.527418583	1.554959081
FA(20:4)	0.706098916	0.701430868	0.468812376	0.497461055	0.184399916	0.432649311	0.134641822	0.455593285	0.130777259	0.250503964	0.496866246	0.300291585	0.158638693	0.657650653	1.353360084	0.171228464	0.527442547	0.155556385	0.236307844	0.751991394	0.401771302	0.844879366	0.339223515	0.799730517	0.657184972	1.394341654	0.860562609	0.635557365	0.832497892	0.490876724	0.343952995	0.731508541	0.599056876	0.221619577	0.546501816	0.257959764	0.804343685	0.95916707	1.307539259	0.522728137	0.278397102	0.628010992	0.356412891	0.414014333	0.321866109	0.634439241	0.766165804	0.188649146	0.138810697	0.862549672	0.272361881	0.540435869	0.599725135	0.241809158	0.672294621	0.41946896	0.699744966	0.852070919	0.99822023	0.732063216	0.849251622	0.887066433	0.71570526	0.766734428	0.716321863	0.505493113	0.378277327	0.702001077	0.801755952	0.519411047	0.997681992	0.528515546	1.252166355	0.427887496	0.390590279	0.489665918	0.663969801	0.801146232	0.27912381	0.365368851	1.182449807	0.481874462	0.200740414	0.181284762	0.068727265	0.085683901	0.113760041	0.139602587	0.079453232	0.178160315	0.107600114	0.059901791	0.107526867	0.025551898	0.14704612	0.049738297	0.075236853	0.062843305	0.085068591	0.092055162	0.185285886	0.054289128	0.059357132	0.041493057	0.064840525	0.152281948	0.048633984	0.04627191	0.055523356	0.385392571	3.548590663	0.455371778	0.411946622	1.602439201	0.330193677	0.688523445	1.420309091	1.685292219	0.289240968	0.249967185	0.669362638	0.369009486	0.093412461	0.084640091	0.51649088	1.100967563	1.232961012	1.088452999	1.490671924	0.507967725	0.982697727	0.708760917	1.113577567	0.619013563	0.526175873	0.386305101	1.172181567	0.597614776	1.710492886	2.242791651	0.556722153	0.276165879	0.371502345	0.410518863	0.483237693	0.476055711	0.459116324	0.834624688	1.04671867	0.687451059	0.31124013	0.621898812	0.761690454	0.241665356	0.764994601
FA(22:6)	0.210789583	0.272643088	0.506255319	0.12769041	0.120939603	0.40583293	0.042822225	0.2518153	0.070055338	0.104650363	0.18006535	0.160179699	0.059354112	0.195161052	0.469979535	0.064009479	0.152956609	0.109565873	0.112254591	0.211885311	0.149309589	0.480927061	0.322890229	0.718966415	0.225472014	0.614791997	0.835019093	0.296266373	0.671206786	0.209934257	0.235324842	0.503574678	0.542040931	0.118572101	0.237902687	0.193290073	0.363688102	0.884398541	0.382693881	0.175618847	0.230808642	0.320176325	0.206419624	0.461173753	0.091432921	0.144728323	0.270447822	0.108162734	0.182748376	0.547385393	0.097028027	0.231940042	0.306576233	0.13759943	0.336156057	0.410617623	0.372431047	0.3566983	0.206939259	0.419738461	0.576784143	0.364654169	0.249876461	0.466631888	0.33259488	0.410636805	0.318242399	0.234495856	0.355515128	0.132667542	0.549045449	0.351849513	1.03151279	0.141162195	0.172004327	0.136916008	0.19416161	0.455221474	0.132313487	0.107842908	0.437742254	0.295665483	0.106331187	0.142343084	0.098713443	0.189896228	0.107893213	0.153787238	0.086368345	0.179128368	0.110806399	0.058978989	0.074416262	0.031631244	0.288087272	0.043669611	0.056240326	0.073000617	0.060123557	0.139255303	0.212493267	0.024478561	0.048623456	0.004397269	0.032251169	0.14036018	0.036027948	0.060604267	0.113473229	0.277389939	1.783303736	0.249991734	0.339155984	0.771282983	0.186212009	0.543293209	1.097707732	0.680080233	0.183109073	0.13157019	0.373878791	0.200322084	0.113976237	0.01966875	0.196963857	1.241279254	1.328933497	0.554379596	1.52962449	0.525887576	2.096625218	0.41398686	1.739424707	0.791547803	0.394751644	0.177653321	0.397206434	0.21099007	1.725478772	1.449267114	0.292569746	0.15089262	0.198076783	0.185834832	0.173404791	0.132226534	0.142897303	0.384474579	0.387681895	0.162657573	0.129596667	0.211161284	0.368705336	0.098926955	0.284133567
FA(44:5)	0.857255288	1.287921517	0.88803361	1.120559132	1.04594035	1.187100103	0.813354194	0.839350937	1.061157518	1.074276621	1.184420827	0.899986458	0.626775259	0.708682882	0.710748313	0.947556078	0.771232274	1.254988437	2.187576201	3.064152606	4.721847986	7.533375521	1.278510006	2.787865164	2.893110185	3.984589675	4.28058237	1.135219381	3.551520064	1.629398119	4.712753221	2.226775081	2.140294521	1.644337161	3.405965924	8.178140293	4.481247208	3.112108911	5.077849693	1.231595902	0.985077187	1.146853196	3.536225524	0.645991782	6.966713235	0.563074323	1.294383061	7.36143899	1.176985292	2.491222658	1.669254085	1.145552162	1.5566706	1.807383552	1.215833329	1.400334984	1.291205574	1.857661817	3.01288378	1.253740499	1.178881908	1.008365706	0.959342575	1.066178762	1.722822836	0.527582529	0.82036582	1.51816782	0.945956011	1.164458674	0.953380495	0.838378141	4.246037637	1.043624322	1.066328384	1.079241223	1.056678599	0.958270798	0.701076194	1.470415008	3.972915262	1.075856046	0.768399971	0.47963744	0.451636391	0.418189246	0.472546239	0.394085077	0.478044782	0.455287021	0.424930891	0.694182052	0.61029046	0.552111409	0.680606294	0.900666948	0.884777748	0.696268646	0.588365648	0.969435775	0.895112661	0.580790243	0.736573354	0.635128117	0.615754603	7.008986212	2.353990469	1.949199638	3.070074525	1.079723382	2.80868021	2.424293328	0.857923483	0.999482408	0.71828589	0.943977142	1.173424109	0.571302291	0.453893411	0.556371963	2.702733239	0.484581886	0.710501165	0.819508413	0.987911793	1.494361098	1.13261319	2.126473122	2.818577403	0.868243	1.25556637	2.552344863	2.894244672	0.901628489	1.103780439	1.696077786	1.000663574	1.014947203	1.581401934	1.321568451	0.762159916	0.816937968	0.673934488	1.07747517	0.808226093	0.589503887	0.942179485	0.811051719	0.51594954	0.824681571	0.778535126	5.858524588	0.699417189	0.668164079	0.927325347
LPC(14:0)	0.809612111	0.879027726	0.574073887	1.919190399	0.485833678	0.377720565	1.038804935	0.374761285	0.561352637	0.038357036	0.90848078	0.170720538	0.852318339	0.370823402	0.620713377	2.902491493	0.318692847	0.198874006	0.687858114	3.377250734	0.707429496	0.292461239	0.277006789	1.353902378	0.702242059	0.612046992	2.743430619	0.67811589	0.491356725	0.376812737	0.998252765	1.156918639	0.981800727	1.811083464	1.05875905	0.38669745	0.896696939	0.846500873	1.606780115	0.364218791	0.261333462	0.38914919	0.314215846	0.333604867	0.671098523	1.63294718	1.253091274	0.377876086	0.169879543	1.354873462	0.594898229	0.611111403	0.644232701	0.642767924	0.452835746	0.722205654	0.88125214	0.763116685	1.096020445	1.498017528	0.613161	0.876815903	0.43191697	0.914659829	0.615723255	0.684050779	0.404221286	2.065972023	0.668636947	1.042538072	0.859089168	0.7222596	0.549582106	0.363106821	0.55586844	0.082807967	0.718281462	0.756169913	0.148405435	1.030812811	2.018880592	0.186898271	0.819829957	0.479963013	0.787413448	1.240391	1.3876587	1.501654185	1.450935153	1.231089655	0.804775392	0.790526121	1.335099251	1.189547292	1.132022388	0.826472769	1.372868142	1.319169542	1.261197689	0.900168108	0.924134841	1.203092994	1.41099069	1.563312686	1.427499728	0.918814555	1.037586548	1.527797618	0.692284243	1.233809715	0.306783761	1.105005805	0.481536156	1.226787535	1.63234737	0.54462026	0.282729846	0.354082418	0.56501335	0.573234865	1.934218287	0.375039114	0.15490924	0.004704929	0.619313993	1.313212976	0.640728531	1.537910165	1.445633185	0.552070381	0.811654778	0.495716826	0.531392198	0.644071833	0.302606999	2.007795908	1.952391431	4.321063722	0.934729505	1.007319808	2.28613674	0.269016005	1.791110314	2.264017541	1.525034973	1.715809569	0.661769618	1.068562547	1.825817673	2.475487444	2.572433399	2.98617247	1.724911692	1.70717423	0.69939796
LPC(16:0)	157.9195972	211.4560861	171.9258277	243.3691096	107.6950234	133.2686218	150.022845	146.8575795	65.90904003	12.66745436	191.7279687	60.15966529	133.4782187	110.9251695	131.0695128	261.4433004	84.31298477	38.95563125	97.58157809	242.3102621	88.51708018	96.97155568	71.10928438	186.0973217	164.6261279	157.0722639	233.3818491	126.9685975	127.7002538	86.23078288	153.4415259	176.3788394	114.8323973	140.6551283	206.1959243	72.31407627	171.9289274	334.6736088	146.9768688	85.03702608	87.31524746	101.2851061	88.77336374	67.95009293	64.63378871	153.2199604	207.6660402	52.76680687	48.16213928	207.2785143	114.1429055	101.7272588	150.6655328	93.25977312	130.1717169	120.1010642	202.3142517	147.4015184	302.3617589	272.4059775	161.9011653	206.1930337	105.9896639	216.7361921	146.169705	195.4501785	139.9318636	259.7608127	157.6302415	219.5980476	202.5140767	213.553294	146.2120209	120.3215111	140.97281	52.52683116	204.2753431	189.0925182	64.42934778	141.121015	268.7543809	93.08827029	121.7687833	79.12019931	74.34105296	92.61876149	99.38267495	111.1022581	112.9664129	93.99893257	86.0784167	159.6480105	117.1153904	94.42627409	111.0901967	110.0769776	153.7845439	153.0593641	130.8210542	138.5626418	125.4794718	71.71084336	188.7067391	148.3710899	88.27074576	128.5674724	71.62580895	123.8106381	87.24428028	208.4617175	193.7909353	189.6531423	104.3054653	417.4972092	271.5746458	107.2413907	103.2294018	139.6095794	102.3363366	85.1592388	356.6930391	69.47959632	45.76375462	9.444756235	245.8005665	351.8542789	162.564637	260.2153277	244.5028975	152.841915	162.0202853	162.3636522	121.5763607	186.2918085	116.3753068	198.0524038	219.8745868	310.3193553	139.1895754	303.594743	309.693528	113.9421257	267.0939285	208.0291706	305.7346356	224.5977034	234.7467212	240.9120302	337.1063679	265.0945202	264.9641807	265.2960064	303.2015643	192.0409509	200.4833298
LPC(16:1)	3.012683716	3.259067975	1.472781551	4.686899732	1.509814474	1.579495198	3.669093063	1.618595842	1.602790681	0.306809635	2.717504064	0.954460735	3.134757946	1.408345489	2.511567208	4.939726691	1.3790719	0.905686384	1.730306027	8.334102665	2.098083507	0.824813925	0.767699359	2.923849665	2.744672429	2.035791729	5.402482388	2.896031214	1.626039147	1.338796459	3.122529112	3.710441893	3.096208265	2.910478831	3.845034043	1.017545624	2.320869929	3.454008171	4.162634196	1.366343719	1.191193034	1.384096169	1.110461641	1.009317392	1.401444153	4.268181571	4.457433564	1.245947893	0.69083456	6.375214695	2.001925099	1.499309681	3.464284866	2.520825382	1.42798233	3.051534157	2.797491246	2.493266786	4.125683861	5.031882885	1.36272601	1.976096439	1.887140611	2.161523939	2.086440896	2.554997808	1.135366061	5.097531252	1.597425902	3.515685174	3.077200538	2.630799632	2.813117198	0.992617755	2.034905811	0.701296302	3.055356963	2.681305129	0.671850912	3.215369084	5.784888627	0.684878631	3.597686955	1.336980235	1.786112267	1.750667828	2.611421073	2.575084904	2.650629974	1.96490468	2.12756187	2.350470133	2.563177233	1.749314042	2.158590753	2.411543203	4.787967256	3.161768921	3.146617371	3.338255563	2.688385838	2.252290809	3.379176737	3.084982187	3.311413655	3.067747695	1.932597498	2.908040572	1.600086898	3.755715488	2.841116853	4.658891756	2.048950878	6.859429096	5.972312824	2.597765274	1.516676779	1.9796521	2.676522932	2.029926595	6.679964398	1.869002415	0.823503397	0.183516873	3.847128541	4.543394764	2.696877241	6.227628453	6.554948534	3.897313846	2.692635923	2.266991973	2.877552917	4.575318845	1.719507803	4.906598642	4.981238575	9.93147688	2.925270251	4.115866517	6.231272751	1.486457995	7.185972836	3.467890043	6.816746283	4.441902699	2.857192105	2.816950131	6.387179069	8.352599874	7.379099128	7.897020727	4.835334462	5.264799979	2.560536542
LPC(17:0)	2.115423759	1.842963708	2.205279171	2.560247324	1.132639096	1.227481894	1.472430918	1.216291167	1.129089062	0.099514961	2.084608877	0.502788344	1.484180952	1.448737498	1.266154202	3.458490566	0.746331305	0.420731251	1.207528795	3.319942756	0.895994348	0.962371453	1.023986619	2.431277619	2.076141123	2.608988322	4.491180299	1.507766137	1.560683982	0.937129753	2.47731609	2.359670208	1.797074272	1.733819514	3.031715792	0.837869144	2.32576729	4.501004728	2.00973951	1.010282512	1.141340684	1.286002347	0.601932781	0.791408537	0.657804109	2.002892624	2.779938533	0.556881847	0.566078182	2.907523309	1.405631393	1.13065374	2.08574956	1.441749907	1.784578773	1.208024461	2.352850287	1.913064617	3.79795506	3.939945589	1.64134058	2.727073231	1.653049885	2.711367422	1.995468188	1.869337518	1.745714303	3.822054706	1.859304276	2.66877224	2.027367723	2.525872045	1.756168932	1.188984136	1.874173751	0.636877746	1.912841537	1.767258818	0.653404861	1.685764386	2.829080225	0.873417956	1.07965429	1.53273213	1.277953357	1.45490633	1.556748114	1.095023865	1.769487925	1.281395969	1.275903201	1.803963538	1.412212448	1.16115964	1.625830855	1.456984781	1.812346535	1.442341104	1.333923857	1.223740353	1.67191736	0.985927542	1.744174978	1.675303877	0.535173278	2.048077035	0.870099054	2.06295143	1.499632267	1.708277024	2.229718953	2.320094685	0.994781655	3.525117099	2.427272764	0.688821309	1.12198065	1.912160835	1.757903689	0.742495747	3.950755925	0.70015464	0.435452102	0.105401895	3.005542603	4.138521299	3.670123557	3.474540563	2.865996094	1.676577804	2.430044085	2.225175445	1.394485651	2.141249436	1.767056919	2.728773988	3.436346959	4.601491995	1.909898632	3.528326765	3.780360452	1.164666287	4.02363337	3.015619049	2.701045918	2.336360471	1.803111506	3.836768957	5.051359443	3.349123491	3.492597056	4.241589261	3.68795996	5.014456936	2.013521789
