metabolite_identification	26	31	47	44	14	41	9	36	43	12	34	4	24	48	27	39	38	42	20	66	68	40	63	61	46	56	69	74	67	72	64	71	78	79	83	70	45	18	1	84	62	SG	CE	IRA	CM	95	89	80	97	99	82	101	94	106	104	109	AA	RI	98	108	111	POS 12	DLMC 93	POS 8	POS 4	POS 13	POS 6	POS 2	POS 3	POS 9	127	136	130	132	POS 16	139	POS 14	POS 15	125	138	129	126	134	B	D	C	A	SC	NC	ST	EB	EM	MC	MM	AI	EA	SA 3	SA 5	SA 6	SA 13	SA 10	SA 12	SA 7	SA 11	SA 2	SA 9	SA 4	SA 8	SA 1	DA 40	DA 41	DA 39	DA 42	DA 44	DA 43	DA 24	DA 26	DA 28	DA 25	DA 23	DA 20	DA 7	DA 2	DA 1	DA 10	DA 5	DA 3	DA 8	DA 4	DA 6	DA 9	DA 12	DA 11	DA 17	DA 14	RIA 2	RIA 1	DA 18	DA 21	NEG 5	NEG 6	NEG 16	NEG 12	NEG 19	NEG 35	NEG 20	NEG 28	NEG 22	NEG 46	NEG 37	NEG 21	NEG 26	NEG 29	NEG 32	NEG 30
CE(16:0)	0.163796411	0.106223976	0.135403503	0.093135887	0.110226641	0.068556179	0.138681532	0.04503996	0.108950923	0.081146298	0.162538694	0.052606651	0.117183769	0.053051539	0.187544936	0.084598964	0.09160764	0.004615987	0.084647626	0.038500749	0.040976668	0.12977966	0.011990548	0.109751696	0.101528208	0.049852521	0.117008661	0.105811126	0.097168312	0.091469759	0.008857623	0.034298641	0.174968718	0.081708201	0.097881498	0.097128594	0.117011215	0.123636608	0.124355542	0.071198495	0.031283089	0.029678752	0.083848116	0.026672707	0.069666285	0.080667195	0.03528528	0.061361055	0.04664898	0.042502576	0.031134726	0.044942283	0.074062636	0.142148229	0.123610615	0.082159606	0.136614372	0.164415043	0.135693752	0.107254272	0.075999157	0.004213568	0.01649482	0.018775148	0.029724626	0.014310986	0.027593416	0	0.005504276	0.002565976	0.068882127	0.102799749	0.094003802	0.031940925	0.040826099	0.004539746	0.040952719	0.015545149	0.041615953	0.047887969	0.039833772	0.029606182	0.059783369	0.031180951	0.109450596	0.026001623	0.00719764	0.120051839	0.091126215	0.063658161	0.071955426	0.065810831	0.073054975	0.06200533	0.065552835	0.004732874	0.074934037	0.173013947	0.138820401	0.228477717	0.071788075	0.017314334	0.12644949	0.087759622	0.164051391	0.034717149	0.121992591	0.059063763	0.022152926	0.049846053	0.033538569	0.041887002	0.038578866	0.045704027	0.091669709	3.510196187	0.312718397	1.360746011	1.72984547	31.87434985	1.114456132	0.127505625	0.192896217	0.536750886	0.101055122	0.221986964	0.526400188	0.15765913	0.296630698	0.109539511	0.131973462	0.134147072	0.113674387	0.080861109	0.079205379	0.666135626	0.032982993	2.752017101	0.614356548	0.184109451	0.088470766	0.056648146	0.086263901	0.040782919	0.136862824	0.07386733	0.079318452	0.120265596	0.004544023	0.00394114	0.013015861	0	0.007491848	0.00287607	0
CE(18:1)	1.474845894	1.552782143	2.631594949	2.642431811	1.298183356	2.678629311	1.663135432	1.749963289	2.206798071	2.277509025	2.633494173	0.957680699	1.847913302	2.320218791	2.549162371	2.141182926	1.359662412	1.966873083	1.379167789	1.72274707	1.61682962	2.277550901	1.773621646	1.882669776	1.632304358	2.906647769	1.642162181	2.405693102	0.934796079	1.530981871	1.627801561	1.481020965	4.491093974	2.194098197	2.22620777	1.834277707	1.943890486	1.690748785	2.417991565	3.377985909	0.944204258	1.626461439	2.028601823	0.968556327	1.927613567	2.2333066	0.973240668	1.885755045	1.275920276	0.876785872	1.227939564	1.594693036	1.900510428	1.297088396	3.01717007	1.197658251	1.975036409	2.238333618	2.269623248	2.858175533	1.702514643	1.36327879	2.251306837	1.450469239	3.096661258	2.010755071	1.422058921	1.044565025	0.522608187	1.773737495	2.319071424	2.962562992	2.738914834	2.307259088	0.950284143	2.079130598	3.457580157	1.586952611	2.334479002	1.346410618	2.440148332	1.489844697	1.670220415	2.345337725	2.059162382	2.510506953	1.557373356	2.004637348	1.85058371	1.814070138	1.663276732	1.434125699	2.686459114	1.618586644	1.241261314	0.924950771	2.371803093	2.475264107	2.287786024	3.751802247	3.273445878	2.416745157	2.865489406	1.368557357	3.132652755	1.953992586	2.439030784	1.731774377	2.628912498	1.873688715	1.088591783	1.256794849	1.540843503	0.884486366	2.576840797	34.33358645	7.990087211	50.69450832	43.12329294	855.242192	35.85505085	2.085042631	6.075118868	12.8668023	2.274320126	4.250737104	24.55970431	2.163631046	4.023783014	2.573637211	2.004447035	2.706802771	1.965521404	2.717083524	2.15951751	14.56583534	2.327973507	53.0513974	14.15300567	4.71442347	2.166494758	1.943164703	2.291497746	1.458603596	1.544716801	2.897378547	2.57757654	2.071994322	1.141708602	1.374155711	0.919422011	0.709566662	0.842777516	0.641830557	0.858072774
CE(18:2)	13.93439593	8.698747533	11.0911073	15.18275274	7.706051471	14.01604122	8.097119623	12.81013514	16.28073432	12.43338679	15.19461876	5.568520318	10.64296125	14.52283777	11.17047495	8.25689747	9.546216397	8.332384277	7.061348117	9.471081021	8.228952607	9.555370695	11.06209934	9.784839513	9.49606088	18.02433512	7.969222452	10.01391801	7.305378582	6.911222702	8.443430388	8.444438894	19.9962423	9.488942672	7.907042703	7.65136492	8.099042017	7.15844647	9.136514859	21.77448651	6.749999497	11.13688106	9.327827082	7.763608688	8.721050121	7.019956091	5.91667827	10.79840751	6.840090648	3.490481654	6.298304938	6.464647426	9.037379382	8.522931057	11.21925655	8.355143273	8.239753848	6.923377892	8.706335863	8.180420815	6.881178132	5.385715978	11.95688414	6.054237584	13.23928187	7.866849014	5.500863798	7.292141557	1.445076328	7.777564406	13.24990454	14.0552901	11.07097446	13.35473418	5.230483951	14.90381557	17.69738454	8.543782515	14.06284853	5.508639052	11.09117382	8.076054482	12.39271942	13.75560492	9.785103387	14.36351381	11.80879208	10.72984248	9.504883699	7.838297025	8.270358956	7.342465809	18.62813938	8.366444049	8.669596332	5.535442618	11.94181335	13.16276551	10.63528191	20.62946139	17.7225333	16.12704819	17.33882232	8.236435262	15.56352803	13.97847165	15.68326037	16.12791412	17.61955587	7.242493383	4.639476621	5.157906986	6.767032142	3.738300906	15.05830224	138.9433179	38.22257248	189.5041255	157.3592385	3849.934671	97.36799864	7.283402259	38.3401209	101.2838794	10.98233903	24.7811938	113.1779865	11.75979254	23.68217477	11.74496115	7.774286142	15.1676021	7.780308569	10.09442138	11.60772758	65.8744786	11.69249838	177.6709936	67.66076225	17.88466791	10.25759619	10.4809809	16.05291339	5.5431481	8.210062545	14.10697175	7.977912792	9.292050562	5.320394855	6.513101236	2.61770693	5.747622111	6.448976695	4.51708661	5.931661719
CE(18:3)	0.189022985	0.129640519	0.448770731	0.394774351	0.403586782	0.38527453	0.162012348	0.131238038	0.351917443	0.5730304	0.658313676	0.026787355	0.041051142	0.503995849	0.073139823	0.05398785	0.051832197	0.158814034	0.046749533	0.092389365	0.16924336	0.209160609	0.100087936	0.088776083	0.05602227	0.83765412	0.221658488	0.393897006	0.008103292	0.210515091	0.0712274	0.233129511	0.796905785	0.189691599	0.118656599	0.307423916	0.110577824	0.149747492	0.339653621	0.401792037	0.038703229	0.207299952	0.069808784	0.03786297	0.09746048	0.134336521	0.077746985	0.237290085	0.200898886	0.059859097	0.406339503	0.038291207	0.058249287	0.025991559	0.173416298	0.032348578	0.127904613	0.064592711	0.122306864	0.542286684	0.05029643	0.07099167	0.936122261	0.037526011	0.125288349	0.097559245	0.056752013	0.172329772	0	0.084055266	0.464332357	0.150512823	0.258190492	0.248836074	0.104352427	0.171080672	0.209214331	0.29336753	0.26734437	0.213232336	0.201612449	0.323580044	0.270198906	0.659996047	0.266671048	0.470076815	0.357762726	0.560949884	0.177932726	0.209250409	0.108169331	0.167173212	0.745508325	0.193346757	0.113581613	0.119165665	0.384752894	0.359520175	0.167035159	0.981331099	0.561917367	0.293905421	0.614517627	0.344535389	0.885901317	0.371698916	0.179660484	0.619420214	0.315136598	0.235662038	0.074532393	0.070173568	0.62336358	0.107491358	0.252051946	2.606732592	0.170772468	13.1650246	1.655888939	32.03825355	4.311554716	0.184255833	1.593733102	3.952135698	0.255799248	0.780432935	6.442114903	0.020322326	0.169502766	0.130151593	0.212276427	0.388071496	0.12758854	0.120238661	0.012651396	1.785485142	0.205654972	6.030168765	0.480069535	1.353550008	0.270855302	0.371730844	0.541655638	0.158645084	0.066432579	0.528047721	0.282737621	0.238028068	0.263187624	0.20223556	0.048672951	0.06965557	0.064461217	0.014493142	0.144045273
CE(20:3)	0.488105457	0.605246379	0.897701765	0.985821519	0.293636542	0.909170213	0.878877792	0.841791183	1.44351183	0.828967559	1.076116921	0.146649683	0.376095597	0.803391534	0.609718488	0.428274352	0.56365555	0.550008105	0.335421742	1.020901373	0.655872214	0.526447593	0.534611973	0.587820408	0.454701293	0.814176973	0.675677964	0.377976849	0.182041329	0.249651111	0.580082771	1.213777406	1.44554192	0.903433255	0.620896823	0.533208473	0.402102219	0.474597246	0.569191781	1.034135015	0.349612263	0.594724794	0.509558484	0.217669122	0.415899363	0.598325727	0.48713394	0.600530888	0.734483198	0.265375603	0.381312765	0.215609882	0.429499179	0.204585437	1.379666033	0.377359862	0.544599197	0.289520191	0.317918896	0.435500901	0.389411007	0.493267805	0.943931463	0.222564413	0.283950218	0.668242517	0.182981216	0.372342865	0.042551594	0.509620715	0.90544965	0.644778964	0.810312226	0.634666306	0.219821615	0.377559526	0.370336607	0.362886387	1.010359363	0.252475942	0.433532589	0.41884808	0.575561132	1.283237961	0.596403603	0.74314574	0.708604695	0.604735406	0.394711001	0.617329215	0.340791677	0.519500461	1.536058797	0.585466957	0.561536305	0.330575117	0.818299123	0.701950844	0.578853273	2.013342695	1.591671768	0.603949909	1.142006622	0.612225064	0.91355965	0.660366639	0.649808552	0.674213392	0.928019232	0.374147433	0.292143079	0.287028968	0.346783067	0.150629652	0.870676001	2.223037342	0.758576727	10.81759213	8.190010583	206.7403143	6.300566317	0.439273845	1.671320771	9.265110594	0.592101732	2.110691411	3.994224738	0.193331587	0.654312786	0.417298706	0.295347325	0.542037223	0.371654567	0.368631113	0.151782543	3.915845717	0.412538629	12.06526503	2.60602969	1.379994456	0.644480853	1.090148528	1.592735409	0.607101297	0.342032322	1.16141291	0.772765563	0.56220157	0.426899565	0.70635054	0.118990275	0.233868842	0.230112155	0.067502967	0.253159614
CE(20:4)	6.411770397	5.853950507	13.49694501	8.001149094	0.592889428	7.999587495	3.986486086	6.724367505	3.991497967	3.869734312	7.749447777	1.286556038	5.865078119	7.060017544	8.303260928	6.301926478	2.505595538	3.647462598	7.04599878	3.314154731	4.793040984	5.758489546	6.60327623	7.099140285	5.593659404	4.237560075	3.250284781	3.146798835	2.356132131	1.201025185	6.267809873	3.301912941	9.854492025	5.514379234	5.121784428	7.569258251	2.235752178	6.476318629	2.549172847	7.37068753	6.423287344	5.230416581	5.507885481	3.903832254	6.185499365	8.978157389	3.565597498	6.045337481	5.708019393	2.636788045	4.460983567	2.25971386	7.878264041	2.344598911	7.744377401	2.012186895	4.577232176	3.172317989	4.20841435	3.349675423	5.169714565	6.955530952	4.903347494	3.492835329	3.421555108	5.188061929	2.136020565	2.684797925	0.508563193	3.389594234	6.441016806	3.869661272	5.101452765	5.283424334	1.749820633	2.911843192	5.378206902	2.832582658	5.618640408	1.651656917	6.424030981	3.517487767	5.111683895	7.228839362	5.419001739	4.410044567	6.971853218	3.517683422	3.030797873	4.707654124	3.362477597	3.406814639	7.162639732	4.88771707	2.793666992	2.315766242	5.419821072	6.122767778	4.370410459	8.557956176	7.477788587	5.41608493	6.830416773	3.190561569	8.551890094	5.521414618	5.789131979	5.211681228	5.255756729	5.857711823	1.683477861	2.363585198	1.860168858	1.620406993	5.548322905	52.93463213	28.91243267	111.5077101	113.1246503	3678.935426	81.8987279	3.70206288	19.71578216	46.54766435	4.4807624	8.14810343	23.28329022	1.016570759	4.528155398	3.082973311	1.922693282	6.809885914	2.136342156	2.852584324	1.258405893	38.65998459	5.884341828	0.919139132	25.64522041	10.46834687	6.974481162	5.197541734	10.8319697	3.504603344	3.389695373	8.181643368	10.38451061	2.423675551	4.186600238	6.344368757	0.413452398	2.421110115	2.587407032	3.122623398	3.083274213
CE(20:5)	0.175812134	0.110159446	1.163842121	0.183353876	0.015190412	0.67675197	0.163492749	0.256796066	0.074212601	0.30873264	0.5689175	0.014698273	0.11840887	1.749256143	0.184299205	0.10374059	0.019393865	0.3717233	0.066548034	0.042929837	0.060932946	0.398017781	0.18087946	0.059646472	0.074909572	0.077918754	0.14873117	0.40502892	0.017525148	0.024054734	0.195900733	0.063303075	0.29503298	0.192181508	0.161579667	0.27079101	0.050614294	0.10057106	0.065379501	0.073966199	0.216907633	0.092781377	0.318554997	0.024621706	0.080751569	0.538393288	0.099413865	0.067711423	0.488903355	0.075679157	0.116036457	0.039142641	0.067681511	0.195342989	0.300969747	0.008861652	0.055143116	0.029632991	0.058124788	0.08199457	0.109891165	0.042648508	0.471544383	0.078207601	0.030918163	0.066027232	0.018218672	0.197020966	0	0.037553762	1.46256515	0.140073591	1.147627028	1.182035198	0.046609931	0.564447199	0.073796206	2.014122519	0.268903659	0.052232686	5.978594593	0.158485644	0.321771498	0.19215632	0.577980178	0.244841547	0.163766702	0.133367486	0.103930871	0.146312453	0.210704433	0.137496962	0.402450061	0.121814465	0.04971662	0.096714064	0.435789052	0.275938618	0.255433013	0.262355286	0.538645441	0.105589982	0.339527436	0.108338861	0.652760631	0.355000563	2.466007197	0.145280784	0.571414555	0.076184014	0.508813137	0.056603086	0.196567431	0.184523897	0.172856749	0.428637962	0.163070416	10.79373789	2.788599773	47.65494187	3.026409703	0.081302777	0.292638344	0.641042678	0.09357436	0.420228724	1.126269119	0.216630157	3.921037564	1.267920552	0.353433504	0.23408425	0.154097497	0.277637986	0.273084247	0.982042442	0.113172126	0.782994307	0.436887171	0.675493072	0.107949622	0.203450334	0.278947697	0.093706049	0.171926883	0.625241458	0.315001847	0.208951012	0.094254156	0.226261722	0.016749915	0.025243854	0.051117077	0.014353426	0.066908539
CE(22:5)	0.078695941	0.049441661	0.205724985	0.118832988	0.002176026	0.101147436	0.088088442	0.062712361	0.066575408	0.076842345	0.035436406	0.004377616	0.087937993	0.023167145	0.091485062	0.044139466	0.035973662	0.060486639	0.070615859	0.035727734	0.024853255	0.069437799	0.059321217	0.049999527	0.044746814	0.034427046	0.060701585	0.074506741	0.021437849	0.017474746	0.077577549	0.043938384	0.140410882	0.031190975	0.02844235	0.078476593	0.060496426	0.06104547	0.076211746	0.105847298	0.081039415	0.049955542	0.098106043	0.035016605	0.064944848	0.072199653	0.026759285	0.072731759	0.101818927	0.018559359	0.046781371	0.010339819	0.05616719	0.017856224	0.16518768	0.029174018	0.027242933	0.050584304	0.050483254	0.047907541	0.055779709	0.05412047	0.034352686	0.046719781	0	0.050598435	0.036011355	0.024542133	0.001684085	0.032174751	0.033146587	0.058802091	0.166538921	0.144425004	0.022996619	0.072795833	0.082589461	0.110008866	0.074304196	0.017320771	0.142799256	0.052596765	0.048541462	0.025599552	0.05878033	0.045917404	0.073038349	0.032390249	0.036372781	0.061393909	0.025991317	0.035564338	0.071070804	0.050646058	0.028396898	0.022809241	0.016305031	0.059936682	0.018540234	0.121066614	0.122014093	0.073114584	0.070031589	0.051096001	0.017680219	0.052775412	0.063069261	0.0641426	0.106581134	0.040057314	0.027631683	0.018763577	0.040516215	0.011732638	0.039055826	0	0.298915737	1.914528009	1.077883787	40.26810868	0.938286402	0.068238659	0.147026888	0.537095391	0.036205964	0.132137804	0.235882867	0.00456361	0.11897586	0.08752201	0.045122872	0.092489617	0.013707176	0.050207768	0.024611956	0.509749491	0.061035891	0.889984758	0.321212429	0.112036133	0.193150997	0.03349814	0.059381686	0.039753752	0.04915253	0.102002022	0.034498383	0.032459433	0.032350313	0.067513942	0.013041324	0.021925766	0.01743271	0.028799761	0.007567999
CE(22:6)	1.142830356	1.110500405	3.331834379	1.770373294	0.058000288	2.022200368	0.776017178	1.604101409	0.64276114	0.569659502	1.611609448	0.113879649	1.223042074	1.52713079	0.915201245	1.144107583	0.484055124	1.09286109	0.942162848	0.706676032	0.394546045	0.951442333	1.487777165	1.223953955	1.154600984	0.425470649	0.266173421	0.412344792	0.24094635	0.24849518	0.633929014	0.481130935	1.224805433	0.836918709	1.05817693	0.9884937	0.70473857	1.639802085	0.6584487	1.748295019	1.150197455	0.596476687	1.830690222	0.37117685	0.660656615	1.815689536	1.094026195	0.445735345	1.761815603	0.654497358	0.96799799	0.517416116	1.202048545	0.472230814	2.097262707	0.257172858	0.309135947	0.562417414	0.565197157	0.324736733	0.664128665	0.485960012	0.487802291	0.391474728	0.175789754	0.628948115	0.315281871	0.698173708	0.018053392	0.210924948	0.827666653	0.314361393	0.980542989	1.311791084	0.237974603	0.471509223	0.535609987	0.580817945	0.724746609	0.133824765	1.73639706	0.57322491	0.851682827	0.816060508	1.484979923	0.682914227	0.990315821	0.192402104	0.559255214	0.763241504	0.833265652	0.523416419	0.89110158	0.611090111	0.244135011	0.366196517	1.024866546	0.867999142	0.695470944	0.505544416	1.418091049	0.886129513	0.819377626	0.18380516	1.221269651	1.265985087	1.864656582	0.438728605	0.779785045	0.667861588	0.324610169	0.357335069	0.301120708	0.195222712	0.288712773	1.754462958	0.891311952	19.90809111	16.68137406	1036.489235	11.47142357	0.427619622	2.253020495	5.907904758	0.417753178	1.352313798	2.80763815	0.002768505	1.29329506	0.612834742	0.29947386	2.260871957	0.273979019	0.328179619	0.002235087	3.72278809	0.273153864	11.06469321	2.435167489	1.281891708	1.749994148	0.652871509	2.136572622	0.205812323	0.448011024	1.49130663	1.110096945	0.508319853	0.270424849	0.947771398	0.064695336	0.168097196	0.276000718	0.137808441	0.285488122
CE(24:6)	0.051788668	0.017739841	0.113291403	0.055839202	0.045954041	0.037544514	0.028561223	0.03797223	0.047131718	0.084675076	0.039762199	0.108573246	0.0347607	0.049093941	0.083523093	0.041981841	0.021619016	0.034450928	0.02331516	0.037363461	0.04235159	0.019830145	0.040724438	0.034914913	0.028796854	0.066568226	0.022843163	0.067517722	0.021840031	0.034649507	0.030917882	0.023398703	0.104273503	0.022932333	0.048803483	0.026186147	0.022743331	0.024596494	0.023697792	0.03705563	0.000327253	0.001383116	0.004498151	0.006786974	0.002779628	0.004916395	0.001845889	0.001891237	0	0.001102857	0	0.005491613	4.57E-05	0.001384627	0.001700018	0.000476845	6.96E-05	0	0	6.93E-05	0	0	0.002769468	0.000268031	0.003633604	0	0	0.000711826	0.000982443	0	0.002302403	0.006349322	0.005485852	0.00301608	0.001127115	0.000187433	0.000255071	0	0.003023706	0.00094615	0.000375022	0.002288401	0.000437281	0.045445312	0.02573919	0.032715567	0.037095229	0.001089435	0	0.003774699	0.000192543	0.002216719	0.002616071	0	0.001276328	7.23E-05	0.001699326	0	0.001322522	0.001424236	0.00118647	8.29E-05	0.001627632	0.002385903	0.001532585	0.001847697	0.001568436	0.004746305	0.001947297	0.002458639	0.001213779	0.000145056	0.000394092	0.000922523	0.010129044	0.245997496	0.040441362	0.026070487	0.143268475	1.512861908	0.010775163	0.041051627	0.153053604	0.780324915	0.044165653	0.082135265	0.443069708	0.263024804	0.1226898	0.043566042	0.034805248	0.048000217	0.039697699	5.50E-05	0.006875633	0.000380993	0.000170116	0.110276218	0.009385003	0.048764532	0.021296893	0.003870959	0.001203265	0.001387893	0.001923189	0.002869869	0.000936617	0	0.001167175	0.003124163	0.010650853	0.002407688	0.005985149	0	0.004840842
