metabolite_identification	QC-3	QC-4	QC-5	QC-6	QC-7	QC-8	QC-9	QC-10	AS1	AS2	AS3	AS4	AS5	AS6	AS7	AS8	AS9	AS10	AS11	AS12	AS13	AS14	AS15	AS16	AS17	AS18	AS19	AS20	AS21	AS22	AS23	AS24	AS25	AS26	AS27	AS28	AS29	AS30	AS31	AS32	AS33	AS34	AS35	AS36	AS37	AS38	AS39	AS40	FU1	FU2	FU3	FU4	FU5	FU6	FU7	FU8	FU9	FU10	FU11	FU12	FU13	FU14	FU15	FU16	FU17	FU18	FU19	FU20	FU21	FU22	FU23	FU24	FU25	FU26	FU27	FU28	FU29	FU30	FU31	FU32	FU33	FU34	FU35	FU36	FU37	FU38	FU39	FU40
3-aminoisobutyric acid	0.000657639	0.000695638	0.00055936	0.000516385	0.000513108	0.000529464	0.000395259	0.002327818	0.00054552	0.000284736	0.000542647	0.00051322	0.000692398	0.000444434	0.000769912	0.000534601	0.000601874	0.000731999	0.000681636	0.000655239	0.000687001	0.000557235	0.000579115	0.000767657	0.000785677	0.000658409	0.000383131	0.000642157	0.000598647	0.00054378	0.000674033	0.000655009	0.000672334	0.000778463	0.000652998	0.000643686	0.000613325	0.000587412	0.000715083	0.000616626	0.00066749	0.000565267	0.000602315	0.000743221	0.000573329	0.00062087	0.00071905	0.000418853	0.000823922	0.000675139	0.000599689	0.000637311	0.000660702	0.000639732	0.000520745	0.000499568	0.000420263	0.000582892	0.000636945	0.000695031	0.000590373	0.000670487	0.000705571	0.0006505	0.000583797	0.000651144	0.000761744	0.000549086	0.000668718	0.000730324	0.000717862	0.000499316	0.000595686	0.000524188	0.000511884	0.000615321	0.000681607	0.00058544	0.000623846	0.000444349	0.000665435	0.000617945	0.000627603	0.00084635	0.000825446	0.000625577	0.000674711	0.000654553
Ethylamine	1.534464608	1.508166517	1.620294463	1.691053292	1.710759464	1.718805412	1.650549518	1.604260869	1.431406872	1.847997943	1.231176987	1.287816323	1.622548101	1.363158053	1.612451548	1.403846085	1.725051832	1.733094067	1.688465312	1.696329204	1.512043336	1.622156947	1.682589035	1.661199744	1.646222323	1.774694141	1.530998011	1.695753023	1.637692857	1.590050737	1.976020799	1.756332511	1.722830886	1.758990459	1.765312262	1.736144335	1.757067883	1.805383749	1.741229592	1.752214876	1.796245165	1.769541792	1.702489315	1.760867348	1.819771041	1.696903478	1.762062021	1.27084245	2.327406466	1.788955959	1.682786478	1.726927421	1.712015447	1.659891361	1.872369812	1.770785521	1.591289095	1.935298249	1.77528604	1.673785799	2.007878006	1.566817243	1.699345052	1.97317833	1.971616254	1.991555254	1.926291504	1.996589912	1.851946963	2.191348245	1.769481898	1.906643419	2.025197603	1.683629257	1.710187404	1.543663176	1.941236161	1.937884794	1.766284028	1.737633964	1.760431886	2.152046917	1.904347341	2.209411549	2.019105355	1.708470393	1.701027893	2.131200258
Norvaline	0.025508432	0.02618846	0.027559067	0.026392426	0.025252808	0.025208475	0.025295453	0.02410656	0.005857064	0.005615317	0.01803171	0.020812049	0.022594413	0.022519642	0.030457034	0.026789066	0.023194183	0.021098958	0.032452808	0.02333049	0.019093823	0.022544461	0.018497039	0.031287418	0.025534488	0.026799073	0.018815566	0.028565699	0.026698043	0.029882637	0.03326641	0.024526005	0.015460421	0.025657707	0.019877616	0.021052406	0.03393451	0.029899839	0.041246993	0.028797027	0.025140013	0.026531406	0.028404709	0.033860254	0.031164261	0.02175534	0.028534868	0.020533572	0.05079327	0.02890891	0.042563157	0.058467183	0.030954162	0.047725531	0.042568652	0.03878327	0.025648574	0.036272613	0.0359327	0.034924202	0.03928875	0.023014946	0.031148661	0.033988507	0.034789491	0.000685707	0.044125663	0.039971379	0.028822897	0.065997939	0.041327845	0.025586265	0.022515254	0.033097183	0.033994004	0.024344271	0.032943758	0.024649473	0.03321156	0.026007145	0.021373189	0.036364589	0.030309882	0.042594628	0.037623403	0.019864018	0.034448263	0.044330605
Methylamine	1.459178984	1.479882247	1.542997788	1.526201583	1.488496713	1.506027825	1.515496568	1.498247635	1.236762059	1.044570382	1.175535387	1.30095395	1.342618247	1.465734424	1.591582014	1.659471511	1.264149385	1.201858227	1.655540452	1.288479588	1.127515964	1.366458356	1.056809986	1.608692364	1.60196487	1.460948605	1.112681254	1.537357466	1.428918119	1.77446533	1.77074641	1.537261993	0.797284954	1.446450915	1.081302244	1.198973022	1.72982501	1.607958077	1.999566621	1.539165971	1.392823293	1.523322112	1.470956787	1.714344321	1.638351111	1.236831205	1.55230936	1.387583581	2.330142477	1.533717982	1.976952264	2.198260012	1.581384842	2.043464501	1.92020741	1.87388155	1.50341304	1.792608127	1.796828764	1.730203192	1.917465748	1.294562115	1.645202636	1.722592934	1.770287075	1.589365878	2.113263401	1.949193362	1.539944988	2.899415738	1.963882025	1.372373279	1.21936832	1.684268707	1.749173305	1.317046391	1.695524356	1.352217885	1.663650251	1.377299026	1.168056343	1.909370526	1.616189299	2.108456675	1.94731412	1.350376843	1.768615455	2.144922108
4-hydroxy-benzoic acid	0.001093385	0.000991333	0.001035959	0.001004835	0.001019507	0.00107073	0.001007053	0.001170047	0.003419529	0.00300881	0.00275118	0.002670303	0.002200733	0.002629148	0.003529245	0.003029266	0.00361354	0.003268089	0.00385104	0.003470483	0.002502413	0.003896849	0.003136827	0.003073791	0.003258955	0.003302244	0.003539367	0.003020792	0.003537283	0.003929911	0.003450025	0.003833913	0.002811738	0.002924267	0.003690006	0.003606019	0.003675999	0.003751005	0.00398342	0.004101459	0.002875167	0.002902094	0.002967673	0.00304198	0.003556787	0.003326339	0.003044872	0.000927112	0.003819404	0.003431012	0.002791388	0.002549712	0.003510251	0.00292806	0.002660267	0.002876879	0.003108821	0.002519952	0.003256914	0.002513201	0.002283401	0.003271168	0.003495505	0.002795792	0.002726505	0.00291215	0.003582679	0.002356148	0.003320456	0.00413171	0.003195145	0.003036487	0.002745302	0.00270953	0.003001511	0.002904653	0.003159984	0.003487271	0.003061667	0.003006057	0.003704178	0.00325826	0.003301666	0.003079573	0.003735249	0.001464811	0.003237244	0.002970773
Metharbital	0.001535254	0.001448398	0.001610912	0.00154371	0.001795779	0.001991254	0.002151355	0.003321964	0.032488741	0.0000621	0.001807425	0.002907612	0.045343346	0.002533209	0.001460007	0.058000034	0.001514003	0.001444002	0.001623837	0.001615446	0.001256746	0.00164528	0.001604098	0.001808097	0.001894805	0.001383115	0.001996811	0.00165489	0.001435911	0.001867918	0.001477399	0.001994962	0.001334902	0.001553875	0.001650409	0.002112415	0.001465351	0.001795077	0.001388823	0.001659451	0.001799956	0.001604688	0.001645178	0.001442058	0.001961454	0.001591926	0.001682635	0.002790858	0.001850952	0.001569534	0.001373041	0.001804968	0.001979176	0.001861792	0.001701714	0.001900717	0.00169093	0.001975864	0.001433868	0.001558816	0.001704799	0.001794541	0.001549	0.001800125	0.001836984	0.001536177	0.00183411	0.00185493	0.001767034	0.00224341	0.002009753	0.001663949	0.00150581	0.001526857	0.001685369	0.001557713	0.001550818	0.001688479	0.001521872	0.001404352	0.001434592	0.002075547	0.001677467	0.001613417	0.001902647	0.001809354	0.001739427	0.001490125
Succinic acid	0.000772726	0.000824005	0.000807739	0.001314553	0.00098646	0.001281119	0.000117786	0.006430344	0.006029837	0.004650062	0.003327702	0.002988695	0.007453489	0.005353677	0.000816548	0.006179566	0.000677998	0.000909916	0.000641548	0.000688786	0.004781172	0.008246014	0.000585705	0.017793638	0.00377249	0.000863936	0.00359498	0.000555006	0.000795139	0.003665581	0.001087193	0.000963725	0.001435043	0.000592352	0.001233085	0.001919965	0.000580888	0.022869933	0.002389824	0.001747991	0.001297142	0.00841221	0.001088127	0.00112489	0.000840744	0.009099074	0.001387627	0.000770319	0.003580022	0.001743371	0.003163041	0.014340908	0.009236352	0.001452946	0.014045484	0.001130483	0.006062826	0.003245891	0.016910753	0.021844507	0.008131881	0.001208615	0.021606266	0.028764493	0.008169757	0.00076488	0.001155871	0.00118624	0.001119555	0.008799085	0.006331739	0.001407588	0.005481795	0.007282472	0.002632625	0.000965501	0.00148619	0.001404516	0.000724903	0.001833173	0.000770119	0.0017696	0.001283648	0.017312718	0.002058774	0.001333616	0.001901638	0.010453408
Boric acid	0.115637832	0.117136926	0.123416626	0.124512839	0.128617816	0.130063189	0.133667484	0.136064284	0.037419254	0.045618099	0.03664914	0.041528183	0.035955228	0.041890689	0.033935897	0.046340572	0.038518355	0.036417449	0.036738322	0.031470748	0.031422067	0.031311529	0.02740262	0.033159835	0.046247292	0.039226012	0.048839202	0.039076541	0.040501572	0.046328568	0.047389823	0.043106191	0.035619578	0.038957024	0.081580095	0.082939286	0.082188439	0.089703041	0.086078282	0.083725051	0.088599086	0.100672564	0.094498692	0.089799047	0.087416418	0.085826335	0.092165505	0.082998757	0.089820927	0.082302238	0.043530719	0.056381942	0.053649432	0.045785229	0.064005883	0.068943745	0.105531857	0.071173205	0.072984098	0.074226535	0.094063672	0.071624702	0.064361466	0.074305327	0.082938739	0.079617575	0.067848502	0.068061322	0.078529375	0.128914878	0.085343544	0.072374408	0.138013542	0.083751238	0.084651799	0.067231958	0.075956317	0.056783899	0.082098326	0.067778181	0.074089004	0.091844615	0.089874277	0.136540328	0.066881394	0.14147355	0.110331936	0.117895509
Digitoxose	0.028414625	0.028496322	0.029462426	0.028791598	0.029197737	0.028765017	0.029524204	0.029359743	0.029710487	0.027648434	0.025735995	0.026857567	0.027441254	0.027556925	0.027856951	0.026992104	0.028241388	0.028319488	0.028139294	0.028029893	0.026193349	0.026229341	0.027535809	0.027355493	0.027273438	0.028313061	0.026877091	0.027793776	0.027683854	0.028014683	0.029748802	0.028576126	0.027202167	0.027688542	0.028905614	0.0276624	0.027943677	0.029150927	0.028170534	0.028698462	0.02910958	0.028642438	0.028237396	0.029146281	0.029741021	0.028120674	0.028941164	0.027224369	0.030745754	0.028562053	0.027007696	0.027404434	0.027430198	0.026864359	0.027277162	0.028230003	0.028584785	0.028118229	0.028410441	0.027416543	0.028848375	0.026659541	0.028501975	0.027873768	0.028725939	0.028994363	0.029574705	0.028179799	0.028478326	0.032623163	0.029133936	0.028654992	0.029621976	0.027586603	0.028108867	0.025626406	0.028229659	0.028015733	0.0269141	0.026252242	0.028600182	0.030374995	0.028694887	0.030452739	0.03001126	0.029424237	0.028593487	0.02994759
Ethylene glycol	0.882927074	0.879701739	0.901372565	0.899062126	0.910481188	0.916545465	0.930324174	0.934814641	0.891424642	0.879276071	0.8881028	0.897140209	0.901096941	0.898267331	0.868647504	0.886432455	0.882894106	0.864495477	0.88294056	0.879216513	0.885607631	0.89817865	0.887908057	0.866555213	0.893645893	0.876560971	0.893228037	0.883109592	0.879804291	0.907032782	0.887930156	0.895424825	0.884330717	0.868837202	0.89533594	0.871281038	0.883214234	0.890917385	0.906861684	0.899121186	0.904809507	0.893811025	0.896985495	0.883964748	0.914546668	0.921669627	0.903675179	0.938759249	0.846796731	0.871127559	0.854450797	0.86509264	0.874402079	0.872105106	0.868129739	0.868550465	0.909605412	0.873320493	0.879806407	0.872030518	0.860512362	0.870816691	0.888660295	0.861846247	0.861783017	0.876918014	0.86343134	0.890568008	0.871994583	0.879093558	0.878119238	0.861942601	0.867657957	0.874740306	0.875461054	0.886157492	0.881872728	0.875801966	0.88158005	0.873314196	0.895727718	0.866211538	0.891914661	0.86363686	0.869888029	0.907402466	0.885531294	0.85417117
