metabolite_identification	QC01	QC02	QC03	QC04	QC05	QC06	QC07	QC08	QC09	AS1	AS2	AS3	AS4	AS5	AS6	AS7	AS8	AS9	AS10	AS11	AS12	AS13	AS14	AS15	AS16	AS17	AS18	AS19	AS20	AS21	AS22	AS23	AS24	AS25	AS26	AS27	AS28	AS29	AS30	AS31	AS32	AS33	AS34	AS35	AS36	AS37	AS38	AS39	AS40	FU1	FU2	FU3	FU4	FU5	FU6	FU7	FU8	FU9	FU10	FU11	FU12	FU13	FU14	FU15	FU16	FU17	FU18	FU19	FU20	FU21	FU22	FU23	FU24	FU25	FU26	FU27	FU28	FU29	FU30	FU31	FU32	FU33	FU34	FU35	FU36	FU37	FU38	FU39	FU40
LysoPC(16:0)	3591.141083	3604.467428	3587.9231	3510.220814	3628.911986	3563.954552	3636.279896	3509.298791	3571.750469	2986.941558	2505.618741	2029.198208	2242.63936	1890.92798	2705.880995	3463.134112	2060.098667	2425.721195	1753.244021	2107.644834	1723.62362	1762.859548	1022.802341	3552.084016	2144.611242	1977.799868	2411.847797	1980.06223	5003.764372	1763.655279	1474.291889	2643.980665	2971.023814	2307.199878	4008.018579	2879.974462	1949.207199	3218.075151	2414.332208	6115.6422	2125.368394	3030.967998	2527.649801	3892.332917	2129.407077	2553.312062	4123.913079	2230.896434	2388.124457	2128.914738	2507.317801	2688.161287	2669.85454	3833.030537	4045.154092	2823.279427	2303.185173	2794.755571	1815.936547	2280.572799	1832.691869	2949.449503	1288.57696	3465.181963	2428.579162	3828.961081	2496.557276	2881.778027	3025.871758	1834.030194	238.2208829	3233.880411	3459.161577	1831.260559	2404.453205	2369.222854	2744.232402	2804.575894	2147.9555	4289.958263	1736.427498	4232.216022	3033.912231	3850.227628	2109.294049	3092.08647	5545.99587	3841.188906	1777.238665
PE(16:0/0:0)	470.0815414	476.6846293	468.1993997	456.8047351	464.7595358	470.5991803	479.5802736	459.5034651	466.4437334	455.3287931	313.3543299	336.926695	191.0001943	326.7171535	421.6913678	393.5933938	467.7006413	295.8552817	266.9939689	262.0242919	255.1804418	290.0887196	296.8168685	414.3330039	403.7124934	280.1735579	260.9445699	363.7054016	572.1989237	275.300384	278.4946262	438.6985481	448.5992325	409.5229645	568.8396948	395.1917964	243.7917589	384.8576226	282.2791786	1215.548128	248.5399879	331.9625801	249.7170034	566.0201859	260.1198911	347.3544004	544.6236162	261.6436983	357.9808068	276.5536018	255.4363946	329.4731121	290.0810282	524.1396247	560.3445506	306.6965714	310.4243063	316.7036706	195.9322071	218.1904242	201.6709186	313.0889054	203.8870286	363.7587442	289.0614543	440.0294573	314.0016348	335.6962487	276.4891575	209.7405629	79.0472347	268.0842543	320.6621909	288.6332555	302.862351	203.5170934	260.2810716	281.8651813	379.10428	658.4371211	191.761238	363.7773099	222.3127191	390.3733409	286.4363583	453.5226158	595.6103309	390.7602837	288.5149096
17-Hydroxypregnenolone sulfate	10.66760103	9.089021753	9.232631286	8.916059888	10.95115176	9.430961473	10.01612894	9.390884512	10.97506468	8.007993412	15.10990893	7.634044488	7.323213414	4.364034643	9.814385901	8.446074611	0.880198229	1.468500068	6.995438395	2.69080216	21.12139757	13.7851395	0.343995988	7.636194519	6.623638499	7.931336052	8.096400606	3.155103685	11.44493182	17.81912053	5.883986941	12.90650065	28.59876168	13.66438588	10.77868769	8.193395126	11.56498809	20.84350587	5.067558194	9.006101517	8.360988148	8.027753706	3.657903722	5.440288323	9.402879644	12.40916956	4.582196757	9.850615306	5.876714991	4.479623435	21.02007754	4.061095535	7.086417173	5.909074254	5.044458766	10.06080821	25.05047601	4.653088755	1.471442706	6.580459731	9.487197804	16.21636135	5.825980768	7.974374063	14.48519784	4.657074181	13.74887446	4.063616856	17.17561259	9.092322994	0.375375178	4.559349969	37.73356376	6.864369649	12.78973758	9.883156016	14.65824846	13.66195923	9.66637647	2.830969645	12.13752311	7.544483376	4.926275222	10.76124398	6.319492327	17.34070929	6.533253167	14.14998343	6.079569731
LysoPC(18:0)	9516.118229	8971.294493	9245.402485	9013.193415	9468.28537	9250.22318	9413.254414	9351.405277	9191.0167	7568.609216	5440.051404	6062.148936	5754.147852	5403.00651	7310.288706	8501.059459	4752.19215	7961.172876	5529.573159	6681.16249	5003.909991	5108.162805	3757.317629	7535.66129	5359.259264	5873.889353	6519.609458	5369.771879	10956.31901	4869.693446	4943.607256	7603.103983	7477.831677	8045.708589	7945.56538	8792.626393	5489.453294	7823.065288	5891.736953	12774.56036	6650.840191	6957.845219	7544.004965	9321.841558	6794.536809	6812.49002	9128.361963	5432.215028	8597.05801	6050.684422	5102.098123	6910.046253	6392.823657	9190.972189	9372.351364	7494.380395	6050.797968	7047.968274	6037.820774	7586.451975	4912.433197	7404.410636	3792.184922	9107.319806	6063.941461	9571.359297	6616.265091	7487.500825	6779.69713	5168.880916	633.9931699	8964.733193	8941.272687	5485.351594	6205.052924	6336.786115	7545.753648	7050.549055	5466.573502	9576.697384	5233.051263	10038.86175	8017.04457	9333.43939	6627.880025	7442.53753	11298.61927	8611.407957	5629.914165
"PC(17:2(9Z,12Z)/0:0)"	3921.89358	3935.733565	3889.534426	3827.71878	3845.099516	3885.120819	3857.788774	3774.707986	3831.589251	3240.163574	3471.031864	2403.411744	2740.249161	2748.69636	2672.849495	4459.297197	3614.362485	2868.739959	3235.158791	3324.374253	2903.073069	2441.108684	1680.561013	4713.895336	3298.085327	2576.853707	3126.257544	3065.021681	5008.152579	3039.115854	2125.437984	4544.454422	4156.065372	3715.962682	4539.111485	3019.239	2387.960928	5201.583501	3054.182879	5350.347136	2537.714553	2936.215649	3165.85086	3238.974593	2481.309774	2419.566379	4422.374064	3416.75565	4008.970396	2753.940073	3214.397704	3341.728455	2986.683709	3625.970167	3822.036157	3476.288393	2974.328452	3652.252676	2503.330607	2483.666734	2947.980053	3298.779022	3160.32856	3962.779148	3735.062914	2965.6545	3121.095598	3735.648514	3478.732091	2534.841103	95.88474978	3681.964482	3985.719177	3555.824791	2625.450895	3436.456434	3157.580663	4831.196541	2884.4772	3715.418273	2449.040646	3930.489713	3569.411441	3727.049976	2572.069155	3458.344976	5170.11912	3908.406677	3948.183048
LysoPC(15:0)	1813.846474	1823.250691	1797.358568	1772.159936	1795.14644	1759.836963	1789.903273	1719.687322	1774.088829	1463.957988	1253.75241	1007.425555	1117.357759	942.7554266	1365.84988	1730.088813	1053.636661	1209.101637	898.511678	1043.50644	856.5560676	901.4116666	524.1772351	1749.995452	1060.474465	1007.805234	1177.977492	975.8732617	2501.78456	871.8181843	739.9051307	1309.591564	1473.151699	1168.224512	2003.7551	1403.454452	978.6368696	1625.640325	1207.953531	2983.700514	1056.311813	1533.306099	1248.607312	1911.080134	1056.065154	1297.363745	2115.316673	1137.649933	1220.875336	1075.463826	1274.464651	1304.554064	1347.239148	1883.090672	1997.545739	1412.369838	1168.701433	1401.86888	888.4480637	1110.729056	923.1853437	1482.035929	665.9328572	1748.421649	1227.925032	1916.403824	1239.5687	1453.555757	1483.232305	925.3183138	119.2745512	1573.49765	1713.313989	936.0044553	1181.597155	1197.242109	1357.236072	1411.134486	1045.294313	2154.822762	851.5966724	2077.130641	1549.488327	1889.489963	1061.61604	1559.713105	2783.202835	1890.814526	895.6605412
LysoPC(18:1(9Z))	7660.458451	7379.005907	7316.817458	7266.498179	7554.317818	7465.114343	7555.025867	7422.56594	7502.501839	6200.100629	5894.445573	4588.828769	5332.469761	4279.267709	5432.940658	8594.70244	5559.848562	5014.607767	4443.456209	5445.46182	4513.859742	4245.696967	3311.019841	8164.287834	5692.53033	5158.490571	5006.146224	5158.821378	8889.313932	4826.222593	4496.307991	6911.223381	6172.858362	6892.417565	8488.943893	7085.361203	4361.450685	7829.412582	6063.305126	13155.20053	4793.102706	5722.838785	5809.259799	7966.325194	5063.884494	5496.465101	8859.974251	4933.623916	7183.247278	4578.50381	4985.29684	6441.42265	5491.353031	7131.540836	7530.440622	6232.829439	4802.149694	5741.458146	4030.921418	4532.082901	4422.239668	5933.84446	4414.78006	7558.65835	5615.794287	7405.744897	4704.140335	7207.1394	5909.146939	4246.039664	270.4962839	6198.338687	6902.737298	5807.802924	5948.634719	5037.526535	7104.009552	6868.894222	4585.533818	9799.156506	4037.769954	7802.577442	7082.291465	8399.735664	4859.798567	6912.926243	10344.98056	7240.142735	6140.197448
Conicasterol D	185.2771641	164.6513211	168.6210509	168.7453477	180.1182256	176.7626707	173.2311079	171.0074591	172.5102387	261.4858091	323.3105396	38.55014647	213.3355066	221.0557277	130.9018783	154.3755482	274.4570758	219.5351183	171.7225898	145.512643	275.8439937	257.0621809	277.8331016	253.1039526	83.23565756	139.5071707	202.6711406	74.99984958	255.1350075	82.9010791	101.5825105	186.4515518	180.3896106	122.2581719	216.0027244	214.7430482	137.7763489	257.4776205	191.9473988	110.8336826	247.0020368	241.1429353	118.9871775	130.7931789	137.9118992	187.3726464	181.5851032	149.1482476	120.9137402	229.5089674	307.6287733	50.09260948	260.0732109	204.2624752	208.0215997	192.2516381	255.9359606	249.1548791	148.7418368	133.3542234	264.1919178	300.8724364	271.7547775	270.4420953	85.56766274	147.7175781	172.7533677	107.4612043	263.6036624	85.56135984	2.030019842	174.6227341	188.2070483	109.5976538	221.2918069	232.6127252	162.8978501	251.1582444	193.9502025	100.1506583	263.3059232	279.3540364	153.4562473	143.7052524	165.8698434	178.8752818	214.108014	168.3037399	139.8890893
16Z-pentacosenoic acid	70.0748506	55.54802085	62.54082698	62.17750521	66.19251644	62.63233764	64.37915487	67.86657748	60.78813445	75.65442989	113.8734376	22.74009328	63.30106222	55.61024369	63.56717889	119.8205938	72.93105512	36.19860388	44.6789213	22.40921067	88.18387309	45.73399241	50.61064794	63.28491016	64.00490331	98.72232804	43.12987435	27.19262476	74.98147224	16.70299135	64.33940981	66.6699808	38.86922117	38.94008995	100.0105839	53.1900403	46.82080676	114.9709003	52.28473824	43.54523698	41.7403489	149.2574938	64.67844207	221.8138793	48.23717284	72.10613222	57.01475714	95.09689408	52.64561456	57.59729102	106.3089831	24.34572475	54.16860437	62.22700286	60.87737391	120.9962348	54.02892171	34.11425028	48.42652623	23.86182159	79.7117577	68.65351026	35.71633619	68.07828707	53.810918	140.1998008	40.6118748	32.48063198	56.95106057	21.40866681	1.718127269	55.18200708	41.02086447	23.96232183	101.3694687	44.29288254	44.67457959	106.5590242	45.1683407	31.84159502	40.10558674	204.5994738	88.83750128	230.9245155	49.80137815	66.73802536	67.93674879	106.482772	50.82723723
"LysoPC(18:2(9Z,12Z))"	8311.831782	8395.984574	8370.905769	8197.702367	8381.830108	8378.278748	8437.599309	8239.074067	8377.03505	7051.311401	7604.972285	5216.919356	5883.644757	5983.190002	5711.962471	9691.390772	7642.427702	6293.307489	6878.191082	7228.368283	6384.08089	5279.153818	3595.36803	10271.49859	7138.533742	5500.164963	6831.884566	6712.296521	10753.45871	6645.744309	4661.078803	9864.517519	9051.432655	7945.165609	9774.742191	6579.59905	5192.342166	11101.06429	6556.842751	11769.49971	5565.658009	6281.638648	6843.927077	7143.727638	5415.831098	5161.641872	9385.448835	7286.209841	8598.384083	5890.701345	6906.685196	7251.231097	6416.956147	7957.253492	8326.907729	7621.999792	6338.548729	7818.988963	5439.895574	5448.514307	6361.718563	7174.471961	6707.175558	8381.721096	8005.498811	6371.342738	6648.83228	8014.446094	7600.745202	5383.428524	221.5409231	8010.199392	8667.672451	7616.367725	5711.596321	7347.944029	6816.402217	10298.88974	6324.300785	7909.815354	5342.566573	8636.165925	7592.492898	8110.697771	5529.859033	7394.649534	11001.56507	8537.887123	8486.282006
