metabolite_identification	QC01	QC02	QC03	QC04	QC05	QC06	QC07	QC08	QC09	AS1	AS2	AS3	AS4	AS5	AS6	AS7	AS8	AS9	AS10	AS11	AS12	AS13	AS14	AS15	AS16	AS17	AS18	AS19	AS20	AS21	AS22	AS23	AS24	AS25	AS26	AS27	AS28	AS29	AS30	AS31	AS32	AS33	AS34	AS35	AS36	AS37	AS38	AS39	AS40	FU1	FU2	FU3	FU4	FU5	FU6	FU7	FU8	FU9	FU10	FU11	FU12	FU13	FU14	FU15	FU16	FU17	FU18	FU19	FU20	FU21	FU22	FU23	FU24	FU25	FU26	FU27	FU28	FU29	FU30	FU31	FU32	FU33	FU34	FU35	FU36	FU37	FU38	FU39	FU40
24-hydroxy-tetracosanoic acid	664.7407028	680.64516	661.5320145	651.3968772	639.7762855	683.0672959	660.6726141	652.8188025	611.9080378	416.2396135	464.1188447	568.3688655	535.2590324	421.334652	867.3312146	555.4704679	440.290046	422.8236086	306.8747239	250.936142	261.2746779	425.238682	400.7228921	512.3159813	407.4379573	299.7597624	393.0737	338.0878371	1003.532084	245.2379884	301.1975171	457.3733697	635.1130758	480.1088459	459.2509953	491.907746	431.6786076	511.7935784	444.1519788	803.6957178	260.4866124	280.0203751	429.151249	399.5720003	285.0531668	327.8071432	463.8260125	366.1130736	436.5839892	318.1444513	371.726653	387.0326185	271.4689721	409.7379354	465.6935564	325.7920724	306.2732146	384.5946944	271.6423853	256.0978085	256.3982783	458.5935978	301.9457767	534.8593301	483.7037657	458.9650321	469.7944941	346.623832	448.074042	375.2379983	484.9162657	458.6759349	541.699559	299.9348617	401.1580326	292.5090254	316.1123573	410.6526729	354.7932757	486.3884882	274.2194526	522.4331758	481.1959184	585.5042992	288.6444435	378.3400245	496.8074022	470.8036188	361.4368115
Sphinganine	1227.087916	1256.59471	1223.069467	1233.51805	1222.58888	1278.617168	1275.605945	1185.88481	1156.345114	824.9505411	993.8594042	1166.823341	1146.136226	893.3405134	1689.08374	1016.597575	901.0920155	835.5289428	641.1324334	517.367672	588.3653627	865.5349865	856.4909215	1057.406197	865.1519072	667.4693894	817.7669854	766.4525372	1880.51581	569.0674706	754.9910028	893.6048557	1128.932621	904.2420178	835.1416385	924.8398854	904.7238677	981.882318	943.9854942	1696.831288	568.2928241	616.5484543	916.8334736	798.3843758	615.7350954	726.5986061	875.2074859	771.0625512	830.4031785	652.6241444	728.1824429	780.3684711	581.0434843	883.6748779	950.3425283	651.791913	604.5818744	739.4048433	619.9572586	567.5269181	527.9243106	899.3165747	663.5167344	1029.813881	959.9788218	922.3667419	910.6695758	700.1688406	863.8119281	800.7269562	939.2123441	939.2175203	1056.256131	692.6520891	805.7279646	646.6634102	648.2389164	801.2990142	794.0209927	977.9814059	581.5558959	1021.683057	908.7096615	1124.785023	645.2847897	810.3458712	997.4628626	953.5360778	756.3383104
PC(16:1(9Z)/0:0)	1085.611671	1110.497564	1100.380845	1103.543308	1109.78483	1128.482454	1135.577826	1108.559315	1128.069301	894.8377949	793.2948494	506.2419182	709.0797827	613.3971216	458.8455346	1130.970155	721.3623118	860.0886303	531.1042871	647.3426227	579.7177763	583.6357635	509.0336647	787.5277275	917.8417554	943.0931588	788.3081606	826.6514379	1259.475044	653.0169259	872.1443584	789.1329525	744.8335821	817.4001344	888.7887895	976.3966635	451.6676947	863.7961269	710.4790625	3776.915379	895.429899	1269.805042	1009.264419	1542.128464	907.3830986	1001.705207	1650.450024	828.531331	600.8815909	640.9059737	832.8483106	814.616805	943.554346	1313.99961	1330.211891	1111.463122	731.3799354	942.6336036	410.5752511	664.7214385	607.2436061	777.4013107	502.8468109	1030.844081	799.5371652	1623.43162	749.9673444	985.4862054	970.286185	634.63059	1491.186536	1078.91477	1105.954435	544.1918663	865.199786	839.8018138	1205.427899	576.2140097	583.0562429	2170.64911	735.4460186	1414.482202	783.9349251	1351.807203	838.7626182	1075.652286	1481.18803	1511.034439	437.0808162
3-hydroxy behenic acid	9.167444719	9.274518471	8.411848954	8.539699831	9.31987217	10.800984	9.585308375	9.142837454	7.571273544	7.398751779	10.93721618	12.48381419	8.648163817	9.032676732	14.05038095	11.98004788	8.564440352	6.061943454	47.03411308	7.005627022	3.674667507	6.139414242	4.583918758	7.220409506	5.853469633	4.927569455	7.400596769	4.261965626	10.04286799	4.75133187	4.631711743	7.544962209	6.757538289	5.843338156	5.525991062	2.509976445	6.602628556	7.086668843	4.381745532	21.83489777	4.01184247	3.452499327	5.881858674	4.810658276	4.900245382	6.890191143	8.031878165	3.639240545	10.44115601	7.397704409	5.841866692	2.85197216	6.042785453	4.682631196	5.69164905	3.081830604	1.765559815	2.673552666	2.534643588	8.952484558	3.539445131	8.763533305	3.616238827	5.634385409	5.460693572	5.473764339	3.845709861	5.236665354	1.441594301	5.853060258	3.460878701	5.101736288	6.667513529	4.352485141	4.19820211	3.140793252	2.262867505	2.507386259	7.480263351	6.5171351	5.130463695	3.668951496	2.441252847	3.028848091	6.43785062	6.18813598	3.211808724	2.640371854	8.724832595
24-hydroxy-10Z-tetracosenoic acid	137.3883125	137.0337548	138.6889954	129.927326	138.0995595	135.8182035	134.5587726	133.060483	127.8827533	84.09468226	96.66533777	118.6306065	116.2734853	83.68715503	164.3820168	95.70550178	86.88051003	78.95783911	52.6773428	44.184881	49.49725371	75.75267297	78.84269406	106.2435991	84.05815441	70.53828619	75.7281122	73.63334755	203.2777841	45.2124501	68.10151299	82.18612247	110.7224407	83.98123459	81.79761123	88.93471665	83.17647294	102.3266574	101.3029673	181.4811339	47.68066875	66.2663406	90.77407764	79.89241941	64.16535557	65.96140069	85.8552209	75.42611747	79.98589456	62.71623775	71.34204591	71.92460937	58.82901121	93.35488894	100.5817053	65.5195501	54.69395004	79.16492726	54.27980553	58.62973695	47.70962881	95.61237534	59.70866967	108.5112872	92.25016368	93.41808319	92.93432921	68.41535892	86.765539	67.49285659	98.5989032	99.3762002	117.2617379	62.66127438	85.57200582	62.22607338	63.68158714	86.09934873	79.63928408	103.9822142	57.20524163	118.3140769	97.91403815	123.6598785	67.32103877	83.50065327	113.6981652	96.61727579	78.0790228
L-Homoserine	43.24743967	46.66942536	49.58276219	51.28358831	54.75790947	56.57541022	57.73721588	57.07437748	57.59272273	60.73806085	64.1228094	59.99435537	62.24976343	62.50354889	52.6646082	0.995732866	49.37997873	1.095358869	52.11006053	69.43201532	76.37623472	1.27209268	67.06595668	1.255757303	0.972419833	56.94108223	1.216642562	69.20722258	1.196688038	70.69717607	75.38566361	1.167372416	0.939291551	1.049970378	1.15336249	1.722578614	0.561770465	0.902251415	65.14398903	61.22343433	76.92852777	56.78247885	64.55897049	63.50133485	83.67972618	57.20458958	53.3045005	56.96983525	0.610363009	59.09294151	54.82561611	73.95929247	57.83037872	61.43480356	58.12458004	65.4089195	56.68336747	54.28533658	69.43304124	78.58962492	65.30962228	56.55600539	57.69576369	48.05651106	55.43666305	56.05630293	66.0503389	56.2328739	67.78897945	64.43208081	59.39475934	71.7914848	64.11658862	64.53714215	67.42860228	56.43595846	67.07780615	58.09036629	76.01235916	52.65437091	68.64088116	63.05757205	55.97840721	60.81952986	61.62631668	46.43052884	49.14909512	62.62001907	59.76635905
"PC(18:2(2E,4E)/0:0)"	12540.92535	12810.03916	12563.75235	12756.91163	12773.92066	13406.74045	13351.53676	12263.40411	12900.37091	9957.812018	11656.48079	6334.716713	7906.595482	7734.375083	6920.836635	17837.86382	11051.33111	7934.774362	9336.147073	9926.84854	9319.292961	6898.143457	4608.443375	15349.83994	8867.411625	7271.109202	9083.345553	8284.631892	16259.62966	8526.33593	6351.284005	14873.90036	13868.51796	10968.79001	14764.31018	8336.983811	6315.473386	19920.6088	8854.115554	18950.32629	7809.673558	9238.35178	9900.937598	9948.964573	7246.389315	7002.394894	14867.17716	10293.78193	11143.78353	7684.274437	10522.1371	10432.61993	9604.402262	12702.48664	12529.9734	12155.46319	8793.435196	10338.19182	6321.897584	5971.533469	9248.033989	10437.31942	10124.06379	12701.61339	11168.09163	9008.192867	8993.808768	10915.13878	11954.32914	7717.862211	9174.471998	11269.55754	12145.0452	10569.55193	7557.132716	10874.58701	9388.394519	15807.14539	8379.397827	10732.12766	7272.302632	12968.50873	10705.78221	11210.16924	7388.409011	9397.966433	17755.93401	13353.21383	12136.01048
Choline	9.530811402	9.207510031	9.446760871	10.25490156	10.89047216	10.03630821	10.65901807	10.65453071	10.35445699	8.252780177	7.693156145	5.423010632	6.602556093	5.651821041	6.846507407	13.14709974	6.61351851	6.427151971	5.741366494	7.122393857	6.214228513	6.199692789	4.643041053	10.13164978	7.537450344	7.271013257	6.150630134	6.172283386	11.47252482	6.210768686	6.419450762	8.876443729	8.890448386	8.290672007	11.22523356	9.466533502	5.64062083	11.52064857	7.42500797	20.10805411	6.839734521	7.657497075	8.271847104	10.44864619	6.760940201	6.889961409	12.04680078	6.370904027	8.911337762	5.726299544	6.655897676	8.190362599	7.511911853	10.34761815	10.8638744	8.590279713	6.432617799	6.969817529	5.277013981	5.530523016	6.658560899	7.877301144	6.081510821	9.664854206	6.914494214	9.725075222	6.261560578	9.351280596	8.079995398	5.861511797	9.820107975	8.036980484	8.663276905	7.615218495	8.03699024	6.770830913	8.773943512	8.670387501	5.48680791	13.22462511	5.573277243	10.29944965	8.892640079	10.78252428	6.337168106	12.11995168	14.09092542	10.157638	7.677602081
LysoPC(14:0)	448.4514248	462.3413461	459.4779927	450.2214987	474.9901786	464.9681646	475.4592086	455.6934951	469.0996003	435.5894348	269.3049454	199.1048721	199.0070615	271.533024	200.7232941	274.7966397	332.1252214	303.0238698	144.3954477	205.3217768	295.0719695	262.0961062	146.8046833	221.9746422	231.8378306	311.3149098	325.3496506	351.371262	650.5725566	311.1713733	293.0501753	217.590854	244.0676445	152.8102465	239.4355758	326.2640261	120.5057907	207.296781	368.2329761	940.2783627	511.4172865	586.3922787	355.8814245	546.4135152	357.3298985	397.3331054	558.7818016	305.8960445	206.4147546	303.1762779	392.9669562	478.2314112	482.3810246	644.8233643	652.0663106	474.1894819	328.5400859	431.8515877	162.3212526	280.2223023	237.1528004	355.8617728	144.5537028	363.5512213	337.6458296	597.9684635	405.8531687	388.9001303	476.2861236	213.5591341	476.3779633	485.0758423	464.4275165	102.81115	392.1313728	357.3217595	415.4567148	134.7287699	306.0655022	538.3393735	225.8022224	605.5674871	242.0952326	298.1349724	358.7033107	554.8247447	724.9809338	628.0871095	148.6192242
20-hydroxy-eicosanoic acid	362.9880359	364.5841121	363.9777167	358.9381835	359.2066211	370.9124253	362.2477573	343.5223046	338.3717527	257.8257083	352.0518048	335.2026368	387.7170125	275.2137861	553.6537771	256.3249303	283.7888605	219.1091933	170.1493041	147.8367939	181.2544581	237.5764506	239.0415306	341.390898	246.9581405	241.1603432	230.9214015	243.5882565	575.2139426	164.9884343	247.9682686	227.2478746	281.3194477	220.1513604	209.8863962	235.0747841	225.6004294	259.149277	329.2894279	567.8682696	155.4936362	195.1495972	290.0346724	230.476276	213.734325	207.3403415	261.8871608	260.1106761	204.7450464	172.6035963	198.3632437	199.1548714	156.136301	245.4231803	260.7415296	170.3690496	156.7262093	205.9474042	153.0012223	147.8294338	127.9318712	248.8151366	170.5059309	284.9081041	250.4673562	258.3997833	243.7644732	191.1200323	236.3705524	191.4415789	252.0453573	264.3191909	298.1091589	175.8288326	230.0672256	171.8875198	170.9700132	223.0887982	215.9887978	271.5970778	148.0803425	296.2707795	257.2930047	323.7208197	175.662327	216.7754815	292.1217141	263.6262799	202.987041
