identifier,significant
CHEBI:10072,1
CHEBI:101278,0
CHEBI:10362,1
CHEBI:116314,0
CHEBI:131434,0
CHEBI:132477,1
CHEBI:132479,0
CHEBI:132983,1
CHEBI:133005,0
CHEBI:133026,0
CHEBI:133028,1
CHEBI:133032,0
CHEBI:133086,1
CHEBI:133089,0
CHEBI:133092,1
CHEBI:133096,1
CHEBI:133148,0
CHEBI:133172,1
CHEBI:133176,0
CHEBI:133183,0
CHEBI:133185,1
CHEBI:133186,0
CHEBI:133197,0
CHEBI:133199,0
CHEBI:133223,0
CHEBI:133226,1
CHEBI:133430,1
CHEBI:133435,0
CHEBI:133458,0
CHEBI:133460,1
CHEBI:133469,0
CHEBI:133474,0
CHEBI:133530,0
CHEBI:133532,0
CHEBI:133542,0
CHEBI:133548,0
CHEBI:133559,1
CHEBI:133562,1
CHEBI:133565,0
CHEBI:133568,0
CHEBI:133570,0
CHEBI:133668,0
CHEBI:133677,1
CHEBI:133678,0
CHEBI:133693,1
CHEBI:133694,1
CHEBI:133704,1
CHEBI:133706,0
CHEBI:133709,0
CHEBI:133747,0
CHEBI:134206,0
CHEBI:134543,0
CHEBI:136614,0
CHEBI:136638,0
CHEBI:137228,0
CHEBI:137271,1
CHEBI:137814,1
CHEBI:138529,0
CHEBI:139374,0
CHEBI:139582,0
CHEBI:140999,0
CHEBI:141,0
CHEBI:142590,0
CHEBI:1427,0
CHEBI:143180,1
CHEBI:143890,1
CHEBI:145961,1
CHEBI:146206,0
CHEBI:151,0
CHEBI:15344,1
CHEBI:15354,0
CHEBI:15428,1
CHEBI:1556,0
CHEBI:15603,1
CHEBI:15611,0
CHEBI:15678,1
CHEBI:15689,0
CHEBI:15724,1
CHEBI:15729,0
CHEBI:15741,0
CHEBI:15746,1
CHEBI:15756,1
CHEBI:157781,0
CHEBI:15843,0
CHEBI:15854,0
CHEBI:15891,0
CHEBI:15893,0
CHEBI:15908,0
CHEBI:15963,1
CHEBI:15971,1
CHEBI:15978,1
CHEBI:15999,1
CHEBI:16003,1
CHEBI:16015,1
CHEBI:16020,1
CHEBI:16027,0
CHEBI:1606,0
CHEBI:16113,0
CHEBI:16175,1
CHEBI:16189,1
CHEBI:16196,1
CHEBI:16199,1
CHEBI:16238,0
CHEBI:16244,0
CHEBI:16259,1
CHEBI:16283,1
CHEBI:16288,0
CHEBI:16344,1
CHEBI:16347,1
CHEBI:16349,1
CHEBI:16359,0
CHEBI:16393,0
CHEBI:16411,0
CHEBI:16414,1
CHEBI:16437,1
CHEBI:16450,0
CHEBI:16467,1
CHEBI:16513,1
CHEBI:16525,1
CHEBI:16530,1
CHEBI:16534,0
CHEBI:165398,0
CHEBI:16552,0
CHEBI:165558,0
CHEBI:165601,1
CHEBI:165602,0
CHEBI:165607,1
CHEBI:165628,1
CHEBI:165630,1
CHEBI:16566,0
CHEBI:165856,1
CHEBI:165864,1
CHEBI:16610,1
CHEBI:16643,0
CHEBI:166485,1
CHEBI:166487,0
