pathway_id,pathway_size,foreground_size,background_size,foreground_in_pathway,foreground_not_in_pathway,background_in_pathway_not_foreground,background_not_in_pathway_not_foreground,oddsratio,p_value,q_value
map01230,42,242,529,30,212,12,275,3.2429245283018866,0.0004200170453741938,0.07476303407660649
map01210,28,242,529,21,221,7,280,3.8009049773755654,0.001245032605619276,0.11080790190011557
map00460,11,242,529,10,232,1,286,12.327586206896552,0.0023650095883616562,0.1296914687956481
map04974,24,242,529,18,224,6,281,3.763392857142857,0.002914415029115688,0.1296914687956481
map01502,7,242,529,7,235,0,287,inf,0.003997611852366357,0.13958554356608113
map00470,37,242,529,25,217,12,275,2.6401689708141323,0.004705130682002735,0.13958554356608113
map00970,20,242,529,15,227,5,282,3.7268722466960353,0.006819617001115651,0.17341311802836942
map00660,6,242,529,6,236,0,287,inf,0.008859114401642392,0.19245296212170707
map00030,9,242,529,8,234,1,286,9.777777777777779,0.009730767747726762,0.19245296212170707
map05230,28,242,529,19,223,9,278,2.6317887394120576,0.013135700217736454,0.2023519710106159
map01110,100,242,529,56,186,44,243,1.6627565982404693,0.014959023315372666,0.2023519710106159
map00220,11,242,529,9,233,2,285,5.5042918454935625,0.015886234450867565,0.2023519710106159
map00230,16,242,529,12,230,4,283,3.6913043478260867,0.016032557382756427,0.2023519710106159
map01060,51,242,529,31,211,20,267,1.9613744075829385,0.017091991495222773,0.2023519710106159
map00997,8,242,529,7,235,1,286,8.519148936170213,0.01938305670179933,0.2023519710106159
map00261,8,242,529,7,235,1,286,8.519148936170213,0.01938305670179933,0.2023519710106159
map00073,5,242,529,5,237,0,287,inf,0.019587240280424526,0.2023519710106159
map01120,79,242,529,45,197,34,253,1.699761122723201,0.020462558866242056,0.2023519710106159
map00998,10,242,529,8,234,2,285,4.871794871794871,0.02936018230336471,0.26130562249994593
map00966,10,242,529,8,234,2,285,4.871794871794871,0.02936018230336471,0.26130562249994593
map00785,7,242,529,6,236,1,286,7.271186440677966,0.03802812969729861,0.3223336707675787
map00300,4,242,529,4,238,0,287,inf,0.043207147677407055,0.3343857515903676
map00940,4,242,529,4,238,0,287,inf,0.043207147677407055,0.3343857515903676
map00350,14,242,529,10,232,4,283,3.0495689655172415,0.04584660560103472,0.3400289915410075
map01200,20,242,529,13,229,7,280,2.2707423580786026,0.06266371860665058,0.40074987462014583
map00650,11,242,529,8,234,3,284,3.2364672364672367,0.06529070991002377,0.40074987462014583
map00410,11,242,529,8,234,3,284,3.2364672364672367,0.06529070991002377,0.40074987462014583
map00280,11,242,529,8,234,3,284,3.2364672364672367,0.06529070991002377,0.40074987462014583
map00290,11,242,529,8,234,3,284,3.2364672364672367,0.06529070991002377,0.40074987462014583
map01100,278,242,529,136,106,142,145,1.3101249003454691,0.0727994796721558,0.4204697032913441
map00400,6,242,529,5,237,1,286,6.033755274261603,0.07322786967433521,0.4204697032913441
map00040,15,242,529,10,232,5,282,2.4310344827586206,0.08275674981521157,0.4463848929426563
map00310,15,242,529,10,232,5,282,2.4310344827586206,0.08275674981521157,0.4463848929426563
map00401,3,242,529,3,239,0,287,inf,0.09509188149923059,0.4978339678489131
map00330,21,242,529,13,229,8,279,1.9798034934497817,0.0981312331093227,0.49906741409884114
map02010,49,242,529,27,215,22,265,1.5126849894291754,0.10962014610994432,0.5420107224325025
map00770,12,242,529,8,234,4,283,2.4188034188034186,0.11946395713164679,0.5747184964711656
map04978,16,242,529,10,232,6,281,2.0186781609195403,0.13338253127629066,0.5994750696180661
map04066,5,242,529,4,238,1,286,4.80672268907563,0.13768677726533715,0.5994750696180661
map00010,7,242,529,5,237,2,285,3.0063291139240507,0.16122721961692676,0.5994750696180661
map00680,9,242,529,6,236,3,284,2.406779661016949,0.1755579099692827,0.5994750696180661
map01250,11,242,529,7,235,4,283,2.1074468085106384,0.18470237825385658,0.5994750696180661
map00520,11,242,529,7,235,4,283,2.1074468085106384,0.18470237825385658,0.5994750696180661
map00360,15,242,529,9,233,6,281,1.8090128755364807,0.19443765827441603,0.5994750696180661
map01065,19,242,529,11,231,8,279,1.6607142857142858,0.19803547108045197,0.5994750696180661
map01064,21,242,529,12,230,9,278,1.6115942028985508,0.19851971981036418,0.5994750696180661
map00270,21,242,529,12,230,9,278,1.6115942028985508,0.19851971981036418,0.5994750696180661
map00524,2,242,529,2,240,0,287,inf,0.2088059231253938,0.5994750696180661
map04072,2,242,529,2,240,0,287,inf,0.2088059231253938,0.5994750696180661
map05030,2,242,529,2,240,0,287,inf,0.2088059231253938,0.5994750696180661
map05031,2,242,529,2,240,0,287,inf,0.2088059231253938,0.5994750696180661
map05034,2,242,529,2,240,0,287,inf,0.2088059231253938,0.5994750696180661
map05131,2,242,529,2,240,0,287,inf,0.2088059231253938,0.5994750696180661
map01055,2,242,529,2,240,0,287,inf,0.2088059231253938,0.5994750696180661
map00950,2,242,529,2,240,0,287,inf,0.2088059231253938,0.5994750696180661
