pathway_id,pathway_size,foreground_size,background_size,foreground_in_pathway,foreground_not_in_pathway,background_in_pathway_not_foreground,background_not_in_pathway_not_foreground,oddsratio,p_value,q_value
R-HSA-352230,28,1016,2160,19,997,9,1135,2.4033210743341136,0.020765425567799554,0.9206495560845959
R-HSA-71240,16,1016,2160,12,1004,4,1140,3.406374501992032,0.02197957818688143,0.9206495560845959
R-HSA-5619094,13,1016,2160,10,1006,3,1141,3.780649436713055,0.028473050806720468,0.9206495560845959
R-HSA-379716,22,1016,2160,15,1001,7,1137,2.4339945768517195,0.0369024258433957,0.9206495560845959
R-HSA-379726,22,1016,2160,15,1001,7,1137,2.4339945768517195,0.0369024258433957,0.9206495560845959
R-HSA-442660,22,1016,2160,15,1001,7,1137,2.4339945768517195,0.0369024258433957,0.9206495560845959
R-HSA-433692,7,1016,2160,6,1010,1,1143,6.79009900990099,0.04498827495040418,0.9206495560845959
R-HSA-8964208,7,1016,2160,6,1010,1,1143,6.79009900990099,0.04498827495040418,0.9206495560845959
R-HSA-8963684,7,1016,2160,6,1010,1,1143,6.79009900990099,0.04498827495040418,0.9206495560845959
R-HSA-70895,12,1016,2160,9,1007,3,1141,3.3992055610724927,0.04789411421669854,0.9206495560845959
R-HSA-8964540,4,1016,2160,4,1012,0,1144,inf,0.04879767965112699,0.9206495560845959
R-HSA-5619063,4,1016,2160,4,1012,0,1144,inf,0.04879767965112699,0.9206495560845959
R-HSA-5223345,4,1016,2160,4,1012,0,1144,inf,0.04879767965112699,0.9206495560845959
R-HSA-5619113,4,1016,2160,4,1012,0,1144,inf,0.04879767965112699,0.9206495560845959
R-HSA-5660883,4,1016,2160,4,1012,0,1144,inf,0.04879767965112699,0.9206495560845959
R-HSA-70268,11,1016,2160,8,1008,3,1141,3.0185185185185186,0.0789331352022885,0.9937509738450967
R-HSA-389661,13,1016,2160,9,1007,4,1140,2.547169811320755,0.09159150688914923,0.9937509738450967
R-HSA-428559,3,1016,2160,3,1013,0,1144,inf,0.10390581935585479,0.9937509738450967
R-HSA-3296197,3,1016,2160,3,1013,0,1144,inf,0.10390581935585479,0.9937509738450967
R-HSA-5619062,3,1016,2160,3,1013,0,1144,inf,0.10390581935585479,0.9937509738450967
R-HSA-5619067,3,1016,2160,3,1013,0,1144,inf,0.10390581935585479,0.9937509738450967
R-HSA-9958863,3,1016,2160,3,1013,0,1144,inf,0.10390581935585479,0.9937509738450967
R-HSA-9865125,3,1016,2160,3,1013,0,1144,inf,0.10390581935585479,0.9937509738450967
R-HSA-438066,3,1016,2160,3,1013,0,1144,inf,0.10390581935585479,0.9937509738450967
R-HSA-442982,3,1016,2160,3,1013,0,1144,inf,0.10390581935585479,0.9937509738450967
R-HSA-5673001,3,1016,2160,3,1013,0,1144,inf,0.10390581935585479,0.9937509738450967
R-HSA-5619044,12,1016,2160,8,1008,4,1140,2.261904761904762,0.14101117717346848,0.9937509738450967
R-HSA-5659735,12,1016,2160,8,1008,4,1140,2.261904761904762,0.14101117717346848,0.9937509738450967
R-HSA-77111,5,1016,2160,4,1012,1,1143,4.517786561264822,0.15236826503311077,0.9937509738450967
R-HSA-5619070,5,1016,2160,4,1012,1,1143,4.517786561264822,0.15236826503311077,0.9937509738450967
R-HSA-2024101,5,1016,2160,4,1012,1,1143,4.517786561264822,0.15236826503311077,0.9937509738450967
R-HSA-977347,7,1016,2160,5,1011,2,1142,2.8239366963402572,0.18048522004229825,0.9937509738450967
R-HSA-9009391,9,1016,2160,6,1010,3,1141,2.259405940594059,0.19865326561207663,0.9937509738450967
R-HSA-166662,2,1016,2160,2,1014,0,1144,inf,0.2211328976034858,0.9937509738450967
R-HSA-166663,2,1016,2160,2,1014,0,1144,inf,0.2211328976034858,0.9937509738450967
R-HSA-2855086,2,1016,2160,2,1014,0,1144,inf,0.2211328976034858,0.9937509738450967
R-HSA-2978092,2,1016,2160,2,1014,0,1144,inf,0.2211328976034858,0.9937509738450967
R-HSA-2408499,2,1016,2160,2,1014,0,1144,inf,0.2211328976034858,0.9937509738450967
R-HSA-110331,2,1016,2160,2,1014,0,1144,inf,0.2211328976034858,0.9937509738450967
