metabolite_id	p_value	method_used	n_features	n_per_group	p_adj	significant
cysteine s-sulfate	5.960684884959379e-69	single	1	Healthy Donor:133,COVID19:254	5.060621467330513e-66	True
levulinate (4-oxovalerate)	7.307008923644501e-68	single	1	Healthy Donor:133,COVID19:254	3.101825288087091e-65	True
inosine	1.0485004045187884e-63	single	1	Healthy Donor:133,COVID19:254	2.967256144788171e-61	True
beta-citrylglutamate	2.5364737088396402e-57	single	1	Healthy Donor:133,COVID19:254	5.3836654470121364e-55	True
N-acetylneuraminate	3.6152217856458645e-57	single	1	Healthy Donor:133,COVID19:254	6.1386465920266774e-55	True
6-oxopiperidine-2-carboxylate	1.0005541761661953e-51	single	1	Healthy Donor:133,COVID19:254	1.4157841592751663e-49	True
4-hydroxyphenylpyruvate	1.0027427604759703e-44	single	1	Healthy Donor:133,COVID19:254	1.2161837194915696e-42	True
dodecadienoate (12:2)	2.4371106307891477e-44	single	1	Healthy Donor:133,COVID19:254	2.5863836569249833e-42	True
branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid	6.533843164028247e-41	single	1	Healthy Donor:133,COVID19:254	6.16359205139998e-39	True
10-undecenoate (11:1n1)	8.161840192299837e-41	single	1	Healthy Donor:133,COVID19:254	6.929402323262561e-39	True
iminodiacetate (IDA)	2.59920634947669e-40	single	1	Healthy Donor:133,COVID19:254	2.0061147188233725e-38	True
5-methyluridine (ribothymidine)	2.1666746377298126e-39	single	1	Healthy Donor:133,COVID19:254	1.5329223061938425e-37	True
3-hydroxylaurate	2.5967326125914482e-39	single	1	Healthy Donor:133,COVID19:254	1.6958661446847227e-37	True
3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-CMPFP)	5.675305526947139e-39	single	1	Healthy Donor:133,COVID19:254	3.4416674231272293e-37	True
1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	2.950684234705565e-38	single	1	Healthy Donor:133,COVID19:254	1.6700872768433496e-36	True
2-hydroxyglutarate	7.524540414638895e-36	single	1	Healthy Donor:133,COVID19:254	3.874217243780517e-34	True
3-hydroxymyristate	7.75756102994921e-36	single	1	Healthy Donor:133,COVID19:254	3.874217243780517e-34	True
threonate	1.859357628072221e-35	single	1	Healthy Donor:133,COVID19:254	8.769970145740642e-34	True
sphingomyelin (d18:1/21:0, d17:1/22:0, d16:1/23:0)	3.406495645709354e-35	single	1	Healthy Donor:133,COVID19:254	1.5221656858985483e-33	True
hypotaurine	1.4743192829956464e-34	single	1	Healthy Donor:133,COVID19:254	6.258485356316519e-33	True
(N(1) + N(8))-acetylspermidine	4.318932626275194e-34	single	1	Healthy Donor:133,COVID19:254	1.7460827617655427e-32	True
hydantoin-5-propionate	9.110685586982367e-34	single	1	Healthy Donor:133,COVID19:254	3.5158963924309225e-32	True
quinolinate	2.586260751806818e-33	single	1	Healthy Donor:133,COVID19:254	9.546675557756471e-32	True
1-carboxyethylphenylalanine	1.1037868417974375e-32	single	1	Healthy Donor:133,COVID19:254	3.904645952858435e-31	True
3-ureidopropionate	1.5902297598379902e-32	single	1	Healthy Donor:133,COVID19:254	5.4004202644098145e-31	True
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)	1.7207808868541247e-32	single	1	Healthy Donor:133,COVID19:254	5.619011434381353e-31	True
sphingosine	2.569152842277776e-32	single	1	Healthy Donor:133,COVID19:254	8.078558381829008e-31	True
sphingomyelin (d18:1/25:0, d19:0/24:1, d20:1/23:0, d19:1/24:0)	6.40190357290542e-32	single	1	Healthy Donor:133,COVID19:254	1.9411486190702507e-30	True
1-stearoyl-GPC (18:0)	8.093269673912321e-32	single	1	Healthy Donor:133,COVID19:254	2.3693744666039864e-30	True
N-acetylmethionine	2.51175176712822e-31	single	1	Healthy Donor:133,COVID19:254	7.108257500972862e-30	True
5-methylthioadenosine (MTA)	4.776608001006787e-31	single	1	Healthy Donor:133,COVID19:254	1.3081742557596005e-29	True
sarcosine	4.9868312991251685e-31	single	1	Healthy Donor:133,COVID19:254	1.3230686790491464e-29	True
(2 or 3)-decenoate (10:1n7 or n8)	9.623155792497318e-31	single	1	Healthy Donor:133,COVID19:254	2.4757755357061282e-29	True
tetradecadienoate (14:2)	2.2071038650720927e-30	single	1	Healthy Donor:133,COVID19:254	5.511268180724137e-29	True
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	4.4995510387189566e-30	single	1	Healthy Donor:133,COVID19:254	1.0914625233921127e-28	True
3-phosphoglycerate	5.6803549684338514e-30	single	1	Healthy Donor:133,COVID19:254	1.3396170467223166e-28	True
1-stearoyl-2-oleoyl-GPS (18:0/18:1)	9.237809303324132e-30	single	1	Healthy Donor:133,COVID19:254	2.1197027293303213e-28	True
1-(1-enyl-palmitoyl)-2-dihomo-linolenoyl-GPC (P-16:0/20:3)	1.736176928424521e-29	single	1	Healthy Donor:133,COVID19:254	3.8789847690326797e-28	True
sphingosine 1-phosphate	2.554003058172015e-29	single	1	Healthy Donor:133,COVID19:254	5.5598681958667705e-28	True
aspartate	3.1329324840443805e-29	single	1	Healthy Donor:133,COVID19:254	6.649649197384198e-28	True
