pathway_id,pathway_size,foreground_size,background_size,foreground_in_pathway,foreground_not_in_pathway,background_in_pathway_not_foreground,background_not_in_pathway_not_foreground,oddsratio,p_value,q_value
R-HSA-71240,6,947,1241,6,941,0,294,inf,0.1967133913171124,0.996898974243043
R-HSA-381771,6,947,1241,6,941,0,294,inf,0.1967133913171124,0.996898974243043
R-HSA-389661,5,947,1241,5,942,0,294,inf,0.2581080166326444,0.996898974243043
R-HSA-5619063,5,947,1241,5,942,0,294,inf,0.2581080166326444,0.996898974243043
R-HSA-8963693,5,947,1241,5,942,0,294,inf,0.2581080166326444,0.996898974243043
R-HSA-196807,9,947,1241,8,939,1,293,2.496272630457934,0.3319673478309542,0.996898974243043
R-HSA-83936,9,947,1241,8,939,1,293,2.496272630457934,0.3319673478309542,0.996898974243043
R-HSA-6814848,4,947,1241,4,943,0,294,inf,0.3385785965796194,0.996898974243043
R-HSA-975634,4,947,1241,4,943,0,294,inf,0.3385785965796194,0.996898974243043
R-HSA-5678520,4,947,1241,4,943,0,294,inf,0.3385785965796194,0.996898974243043
R-HSA-112310,4,947,1241,4,943,0,294,inf,0.3385785965796194,0.996898974243043
R-HSA-444209,4,947,1241,4,943,0,294,inf,0.3385785965796194,0.996898974243043
R-HSA-2408508,8,947,1241,7,940,1,293,2.181914893617021,0.399853828205693,0.996898974243043
R-HSA-192456,8,947,1241,7,940,1,293,2.181914893617021,0.399853828205693,0.996898974243043
R-HSA-381753,3,947,1241,3,944,0,294,inf,0.4440257442431872,0.996898974243043
R-HSA-8964208,3,947,1241,3,944,0,294,inf,0.4440257442431872,0.996898974243043
R-HSA-9854311,3,947,1241,3,944,0,294,inf,0.4440257442431872,0.996898974243043
R-HSA-189200,3,947,1241,3,944,0,294,inf,0.4440257442431872,0.996898974243043
R-HSA-2161541,3,947,1241,3,944,0,294,inf,0.4440257442431872,0.996898974243043
R-HSA-8963684,3,947,1241,3,944,0,294,inf,0.4440257442431872,0.996898974243043
R-HSA-9859138,3,947,1241,3,944,0,294,inf,0.4440257442431872,0.996898974243043
R-HSA-561048,3,947,1241,3,944,0,294,inf,0.4440257442431872,0.996898974243043
R-HSA-1614558,7,947,1241,6,941,1,293,1.8682252922422955,0.477687012599207,0.996898974243043
R-HSA-70635,6,947,1241,5,942,1,293,1.5552016985138004,0.5650811432103042,0.996898974243043
R-HSA-879518,6,947,1241,5,942,1,293,1.5552016985138004,0.5650811432103042,0.996898974243043
R-HSA-74217,6,947,1241,5,942,1,293,1.5552016985138004,0.5650811432103042,0.996898974243043
R-HSA-422085,2,947,1241,2,945,0,294,inf,0.5821670868966233,0.996898974243043
R-HSA-141334,2,947,1241,2,945,0,294,inf,0.5821670868966233,0.996898974243043
R-HSA-351200,2,947,1241,2,945,0,294,inf,0.5821670868966233,0.996898974243043
R-HSA-351202,2,947,1241,2,945,0,294,inf,0.5821670868966233,0.996898974243043
R-HSA-5362517,2,947,1241,2,945,0,294,inf,0.5821670868966233,0.996898974243043
R-HSA-8964540,2,947,1241,2,945,0,294,inf,0.5821670868966233,0.996898974243043
R-HSA-9861559,2,947,1241,2,945,0,294,inf,0.5821670868966233,0.996898974243043
R-HSA-5358493,2,947,1241,2,945,0,294,inf,0.5821670868966233,0.996898974243043
R-HSA-70688,2,947,1241,2,945,0,294,inf,0.5821670868966233,0.996898974243043
R-HSA-193775,2,947,1241,2,945,0,294,inf,0.5821670868966233,0.996898974243043
R-HSA-211945,2,947,1241,2,945,0,294,inf,0.5821670868966233,0.996898974243043
R-HSA-3000480,2,947,1241,2,945,0,294,inf,0.5821670868966233,0.996898974243043
