pathway_id,pathway_size,foreground_size,background_size,foreground_in_pathway,foreground_not_in_pathway,background_in_pathway_not_foreground,background_not_in_pathway_not_foreground,oddsratio,p_value,q_value
map00040,9,312,403,9,303,0,91,inf,0.09730717815244196,0.9970974903138505
map01240,37,312,403,32,280,5,86,1.9657142857142857,0.11630324266067307,0.9970974903138505
map04148,8,312,403,8,304,0,91,inf,0.12643531371781105,0.9970974903138505
map00330,20,312,403,18,294,2,89,2.7244897959183674,0.13112174963263595,0.9970974903138505
map01100,238,312,403,189,123,49,42,1.3170731707317074,0.15206869158078903,0.9970974903138505
map01210,23,312,403,20,292,3,88,2.009132420091324,0.1952876956827176,0.9970974903138505
map01230,38,312,403,32,280,6,85,1.619047619047619,0.20068694121362532,0.9970974903138505
map00240,12,312,403,11,301,1,90,3.2890365448504983,0.20434815791021232,0.9970974903138505
map00999,6,312,403,6,306,0,91,inf,0.21297705496844008,0.9970974903138505
map00400,6,312,403,6,306,0,91,inf,0.21297705496844008,0.9970974903138505
map05231,6,312,403,6,306,0,91,inf,0.21297705496844008,0.9970974903138505
map00785,6,312,403,6,306,0,91,inf,0.21297705496844008,0.9970974903138505
map01250,6,312,403,6,306,0,91,inf,0.21297705496844008,0.9970974903138505
map00052,6,312,403,6,306,0,91,inf,0.21297705496844008,0.9970974903138505
map01110,87,312,403,70,242,17,74,1.2591152163344677,0.2704691556133745,0.9970974903138505
map00860,5,312,403,5,307,0,91,inf,0.2761070614900298,0.9970974903138505
map04979,5,312,403,5,307,0,91,inf,0.2761070614900298,0.9970974903138505
map00710,5,312,403,5,307,0,91,inf,0.2761070614900298,0.9970974903138505
map00984,5,312,403,5,307,0,91,inf,0.2761070614900298,0.9970974903138505
map00561,5,312,403,5,307,0,91,inf,0.2761070614900298,0.9970974903138505
map00030,5,312,403,5,307,0,91,inf,0.2761070614900298,0.9970974903138505
map00520,5,312,403,5,307,0,91,inf,0.2761070614900298,0.9970974903138505
map00998,10,312,403,9,303,1,90,2.6732673267326734,0.2995776829921626,0.9970974903138505
map01064,19,312,403,16,296,3,88,1.5855855855855856,0.3436207214500055,0.9970974903138505
map01040,14,312,403,12,300,2,89,1.78,0.3524545468522178,0.9970974903138505
map00360,14,312,403,12,300,2,89,1.78,0.3524545468522178,0.9970974903138505
map00073,4,312,403,4,308,0,91,inf,0.3576841478393568,0.9970974903138505
map00940,4,312,403,4,308,0,91,inf,0.3576841478393568,0.9970974903138505
map00010,4,312,403,4,308,0,91,inf,0.3576841478393568,0.9970974903138505
map04066,4,312,403,4,308,0,91,inf,0.3576841478393568,0.9970974903138505
map00051,4,312,403,4,308,0,91,inf,0.3576841478393568,0.9970974903138505
map00966,9,312,403,8,304,1,90,2.3684210526315788,0.35946039824076403,0.9970974903138505
map00410,9,312,403,8,304,1,90,2.3684210526315788,0.35946039824076403,0.9970974903138505
map05230,27,312,403,22,290,5,86,1.3048275862068965,0.40227513347224164,0.9970974903138505
map04977,8,312,403,7,305,1,90,2.0655737704918034,0.4282218985917994,0.9970974903138505
map00430,8,312,403,7,305,1,90,2.0655737704918034,0.4282218985917994,0.9970974903138505
map00120,8,312,403,7,305,1,90,2.0655737704918034,0.4282218985917994,0.9970974903138505
map00997,8,312,403,7,305,1,90,2.0655737704918034,0.4282218985917994,0.9970974903138505
map00290,8,312,403,7,305,1,90,2.0655737704918034,0.4282218985917994,0.9970974903138505
map00960,8,312,403,7,305,1,90,2.0655737704918034,0.4282218985917994,0.9970974903138505
map01200,17,312,403,14,298,3,88,1.378076062639821,0.44054158990445796,0.9970974903138505
map01060,44,312,403,35,277,9,82,1.1512234255916567,0.4447493159926104,0.9970974903138505
map00332,3,312,403,3,309,0,91,inf,0.46302155060110917,0.9970974903138505
map04068,3,312,403,3,309,0,91,inf,0.46302155060110917,0.9970974903138505
map00552,3,312,403,3,309,0,91,inf,0.46302155060110917,0.9970974903138505
map04150,3,312,403,3,309,0,91,inf,0.46302155060110917,0.9970974903138505
map00401,3,312,403,3,309,0,91,inf,0.46302155060110917,0.9970974903138505
map00071,3,312,403,3,309,0,91,inf,0.46302155060110917,0.9970974903138505
map00404,3,312,403,3,309,0,91,inf,0.46302155060110917,0.9970974903138505
map04152,3,312,403,3,309,0,91,inf,0.46302155060110917,0.9970974903138505
map00908,3,312,403,3,309,0,91,inf,0.46302155060110917,0.9970974903138505
map00362,3,312,403,3,309,0,91,inf,0.46302155060110917,0.9970974903138505
map01232,12,312,403,10,302,2,89,1.4735099337748345,0.46691537734890576,0.9970974903138505
map00061,7,312,403,6,306,1,90,1.7647058823529411,0.505887563816723,0.9970974903138505
map02060,7,312,403,6,306,1,90,1.7647058823529411,0.505887563816723,0.9970974903138505
map00220,11,312,403,9,303,2,89,1.3217821782178218,0.5311851312819191,0.9970974903138505
map00470,37,312,403,29,283,8,83,1.0631625441696113,0.5362264271374622,0.9970974903138505
map00250,15,312,403,12,300,3,88,1.1733333333333333,0.5499560624137827,0.9970974903138505
map01070,15,312,403,12,300,3,88,1.1733333333333333,0.5499560624137827,0.9970974903138505
map00260,19,312,403,15,297,4,87,1.0984848484848484,0.5653144827706802,0.9970974903138505
map04974,23,312,403,18,294,5,86,1.0530612244897959,0.5785641041686476,0.9970974903138505
map01120,66,312,403,51,261,15,76,0.9900383141762452,0.5835922985959349,0.9970974903138505
map00591,6,312,403,5,307,1,90,1.4657980456026058,0.5917570940979786,0.9970974903138505
map00660,6,312,403,5,307,1,90,1.4657980456026058,0.5917570940979786,0.9970974903138505
map04216,6,312,403,5,307,1,90,1.4657980456026058,0.5917570940979786,0.9970974903138505
map04723,6,312,403,5,307,1,90,1.4657980456026058,0.5917570940979786,0.9970974903138505
map00280,6,312,403,5,307,1,90,1.4657980456026058,0.5917570940979786,0.9970974903138505
map04981,6,312,403,5,307,1,90,1.4657980456026058,0.5917570940979786,0.9970974903138505
map04382,6,312,403,5,307,1,90,1.4657980456026058,0.5917570940979786,0.9970974903138505
map00640,6,312,403,5,307,1,90,1.4657980456026058,0.5917570940979786,0.9970974903138505
map00620,6,312,403,5,307,1,90,1.4657980456026058,0.5917570940979786,0.9970974903138505
map00524,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map04730,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map05014,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map05131,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map01503,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map01055,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map00950,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map00740,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map00643,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map05211,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map00590,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map04666,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map04917,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map00333,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map00566,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map00901,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map00521,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map04930,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map04933,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map01523,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map00830,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map00562,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map00440,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map01212,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map00563,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map05143,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map05140,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map04745,2,312,403,2,310,0,91,inf,0.5989407799711122,0.9970974903138505
map00650,10,312,403,8,304,2,89,1.1710526315789473,0.5989912592351703,0.9970974903138505
map04922,10,312,403,8,304,2,89,1.1710526315789473,0.5989912592351703,0.9970974903138505
map01066,10,312,403,8,304,2,89,1.1710526315789473,0.5989912592351703,0.9970974903138505
map00564,10,312,403,8,304,2,89,1.1710526315789473,0.5989912592351703,0.9970974903138505
map04080,14,312,403,11,301,3,88,1.071982281284607,0.6076973692889245,0.9970974903138505
map00232,14,312,403,11,301,3,88,1.071982281284607,0.6076973692889245,0.9970974903138505
map00270,17,312,403,13,299,4,87,0.9456521739130435,0.6675841327983878,0.9970974903138505
map00680,9,312,403,7,305,2,89,1.021311475409836,0.6688871498204232,0.9970974903138505
map00760,9,312,403,7,305,2,89,1.021311475409836,0.6688871498204232,0.9970974903138505
map00053,9,312,403,7,305,2,89,1.021311475409836,0.6688871498204232,0.9970974903138505
map05415,5,312,403,4,308,1,90,1.1688311688311688,0.6839924932366648,0.9970974903138505
map00130,5,312,403,4,308,1,90,1.1688311688311688,0.6839924932366648,0.9970974903138505
map04931,5,312,403,4,308,1,90,1.1688311688311688,0.6839924932366648,0.9970974903138505
map00996,5,312,403,4,308,1,90,1.1688311688311688,0.6839924932366648,0.9970974903138505
map00970,20,312,403,15,297,5,86,0.8686868686868687,0.715996961168326,0.9970974903138505
map01065,16,312,403,12,300,4,87,0.87,0.7179341555460415,0.9970974903138505
map02010,44,312,403,33,279,11,80,0.8602150537634409,0.7306602772207058,0.9970974903138505
map00480,8,312,403,6,306,2,89,0.8725490196078431,0.7388845594914933,0.9970974903138505
map01062,8,312,403,6,306,2,89,0.8725490196078431,0.7388845594914933,0.9970974903138505
map00261,8,312,403,6,306,2,89,0.8725490196078431,0.7388845594914933,0.9970974903138505
map00600,8,312,403,6,306,2,89,0.8725490196078431,0.7388845594914933,0.9970974903138505
map04071,8,312,403,6,306,2,89,0.8725490196078431,0.7388845594914933,0.9970974903138505
map00380,8,312,403,6,306,2,89,0.8725490196078431,0.7388845594914933,0.9970974903138505
map00630,15,312,403,11,301,4,87,0.7948504983388704,0.7664859631955647,0.9970974903138505
map04978,15,312,403,11,301,4,87,0.7948504983388704,0.7664859631955647,0.9970974903138505
map01063,15,312,403,11,301,4,87,0.7948504983388704,0.7664859631955647,0.9970974903138505
map04964,4,312,403,3,309,1,90,0.8737864077669902,0.7790337588863662,0.9970974903138505
map05022,4,312,403,3,309,1,90,0.8737864077669902,0.7790337588863662,0.9970974903138505
map05034,4,312,403,3,309,1,90,0.8737864077669902,0.7790337588863662,0.9970974903138505
map04913,4,312,403,3,309,1,90,0.8737864077669902,0.7790337588863662,0.9970974903138505
map00300,4,312,403,3,309,1,90,0.8737864077669902,0.7790337588863662,0.9970974903138505
map04217,4,312,403,3,309,1,90,0.8737864077669902,0.7790337588863662,0.9970974903138505
map00730,4,312,403,3,309,1,90,0.8737864077669902,0.7790337588863662,0.9970974903138505
map00460,11,312,403,8,304,3,88,0.7719298245614035,0.7798076004438399,0.9970974903138505
map01061,11,312,403,8,304,3,88,0.7719298245614035,0.7798076004438399,0.9970974903138505
map00670,11,312,403,8,304,3,88,0.7719298245614035,0.7798076004438399,0.9970974903138505
map00975,7,312,403,5,307,2,89,0.7247557003257329,0.8064309198011175,0.9970974903138505
map01502,7,312,403,5,307,2,89,0.7247557003257329,0.8064309198011175,0.9970974903138505
map05200,7,312,403,5,307,2,89,0.7247557003257329,0.8064309198011175,0.9970974903138505
map00020,7,312,403,5,307,2,89,0.7247557003257329,0.8064309198011175,0.9970974903138505
map00720,7,312,403,5,307,2,89,0.7247557003257329,0.8064309198011175,0.9970974903138505
map00340,13,312,403,9,303,4,87,0.6460396039603961,0.8541776286690587,0.9970974903138505
map04082,6,312,403,4,308,2,89,0.577922077922078,0.8684632915140374,0.9970974903138505
map05215,6,312,403,4,308,2,89,0.577922077922078,0.8684632915140374,0.9970974903138505
map04923,6,312,403,4,308,2,89,0.577922077922078,0.8684632915140374,0.9970974903138505
map00750,3,312,403,2,310,1,90,0.5806451612903226,0.8707792387111182,0.9970974903138505
map04072,3,312,403,2,310,1,90,0.5806451612903226,0.8707792387111182,0.9970974903138505
map04721,3,312,403,2,310,1,90,0.5806451612903226,0.8707792387111182,0.9970974903138505
map05030,3,312,403,2,310,1,90,0.5806451612903226,0.8707792387111182,0.9970974903138505
map05031,3,312,403,2,310,1,90,0.5806451612903226,0.8707792387111182,0.9970974903138505
map04022,3,312,403,2,310,1,90,0.5806451612903226,0.8707792387111182,0.9970974903138505
map04911,3,312,403,2,310,1,90,0.5806451612903226,0.8707792387111182,0.9970974903138505
map04924,3,312,403,2,310,1,90,0.5806451612903226,0.8707792387111182,0.9970974903138505
map04270,3,312,403,2,310,1,90,0.5806451612903226,0.8707792387111182,0.9970974903138505
map05146,3,312,403,2,310,1,90,0.5806451612903226,0.8707792387111182,0.9970974903138505
map05032,3,312,403,2,310,1,90,0.5806451612903226,0.8707792387111182,0.9970974903138505
map00592,3,312,403,2,310,1,90,0.5806451612903226,0.8707792387111182,0.9970974903138505
map00565,3,312,403,2,310,1,90,0.5806451612903226,0.8707792387111182,0.9970974903138505
map00500,3,312,403,2,310,1,90,0.5806451612903226,0.8707792387111182,0.9970974903138505
map01220,9,312,403,6,306,3,88,0.5751633986928104,0.878879378833634,0.9970974903138505
map00770,9,312,403,6,306,3,88,0.5751633986928104,0.878879378833634,0.9970974903138505
map04742,12,312,403,8,304,4,87,0.5723684210526315,0.8914340151696001,0.9970974903138505
map00350,12,312,403,8,304,4,87,0.5723684210526315,0.8914340151696001,0.9970974903138505
map04925,5,312,403,3,309,2,89,0.4320388349514563,0.9215956573609182,0.9970974903138505
map05012,5,312,403,3,309,2,89,0.4320388349514563,0.9215956573609182,0.9970974903138505
map04973,5,312,403,3,309,2,89,0.4320388349514563,0.9215956573609182,0.9970974903138505
map02020,11,312,403,7,305,4,87,0.49918032786885247,0.9232749924848169,0.9970974903138505
map00310,14,312,403,9,303,5,86,0.5108910891089109,0.929683905310156,0.9970974903138505
map00910,2,312,403,1,311,1,90,0.28938906752411575,0.9494463168030813,0.9970974903138505
map04720,2,312,403,1,311,1,90,0.28938906752411575,0.9494463168030813,0.9970974903138505
map04713,2,312,403,1,311,1,90,0.28938906752411575,0.9494463168030813,0.9970974903138505
map04122,2,312,403,1,311,1,90,0.28938906752411575,0.9494463168030813,0.9970974903138505
map04371,2,312,403,1,311,1,90,0.28938906752411575,0.9494463168030813,0.9970974903138505
map04020,2,312,403,1,311,1,90,0.28938906752411575,0.9494463168030813,0.9970974903138505
map04113,2,312,403,1,311,1,90,0.28938906752411575,0.9494463168030813,0.9970974903138505
map05111,2,312,403,1,311,1,90,0.28938906752411575,0.9494463168030813,0.9970974903138505
map02026,2,312,403,1,311,1,90,0.28938906752411575,0.9494463168030813,0.9970974903138505
map04611,2,312,403,1,311,1,90,0.28938906752411575,0.9494463168030813,0.9970974903138505
map04910,2,312,403,1,311,1,90,0.28938906752411575,0.9494463168030813,0.9970974903138505
map04912,2,312,403,1,311,1,90,0.28938906752411575,0.9494463168030813,0.9970974903138505
map04921,2,312,403,1,311,1,90,0.28938906752411575,0.9494463168030813,0.9970974903138505
map04916,2,312,403,1,311,1,90,0.28938906752411575,0.9494463168030813,0.9970974903138505
map04725,2,312,403,1,311,1,90,0.28938906752411575,0.9494463168030813,0.9970974903138505
map04728,2,312,403,1,311,1,90,0.28938906752411575,0.9494463168030813,0.9970974903138505
map04740,2,312,403,1,311,1,90,0.28938906752411575,0.9494463168030813,0.9970974903138505
map04211,2,312,403,1,311,1,90,0.28938906752411575,0.9494463168030813,0.9970974903138505
map05142,2,312,403,1,311,1,90,0.28938906752411575,0.9494463168030813,0.9970974903138505
map04075,2,312,403,1,311,1,90,0.28938906752411575,0.9494463168030813,0.9970974903138505
map00780,2,312,403,1,311,1,90,0.28938906752411575,0.9494463168030813,0.9970974903138505
map07225,2,312,403,1,311,1,90,0.28938906752411575,0.9494463168030813,0.9970974903138505
map00626,2,312,403,1,311,1,90,0.28938906752411575,0.9494463168030813,0.9970974903138505
map00230,16,312,403,10,302,6,85,0.46909492273730685,0.9544125405303863,0.9970974903138505
map04927,4,312,403,2,310,2,89,0.2870967741935484,0.9625247185358703,0.9970974903138505
map04726,4,312,403,2,310,2,89,0.2870967741935484,0.9625247185358703,0.9970974903138505
map04750,4,312,403,2,310,2,89,0.2870967741935484,0.9625247185358703,0.9970974903138505
map04361,4,312,403,2,310,2,89,0.2870967741935484,0.9625247185358703,0.9970974903138505
map04714,4,312,403,2,310,2,89,0.2870967741935484,0.9625247185358703,0.9970974903138505
map04934,4,312,403,2,310,2,89,0.2870967741935484,0.9625247185358703,0.9970974903138505
map00621,4,312,403,2,310,2,89,0.2870967741935484,0.9625247185358703,0.9970974903138505
map00140,9,312,403,5,307,4,87,0.3542345276872964,0.9691691971715618,0.9970974903138505
map04976,23,312,403,14,298,9,82,0.4280387770320656,0.9822023964315332,0.9970974903138505
map00121,8,312,403,4,308,4,87,0.2824675324675325,0.9833380539453708,0.9970974903138505
