Input name	RefMet_ID	Formula	Exact mass	Super class	Main class	Sub class	PubChem_CID	ChEBI_ID	HMDB_ID	LM_ID	KEGG_ID	INCHI_KEY	SMILES	Standardized name	ChEBI_ID_Step1_reactome	Reactome_Pathways_Step1	KEGG_Compounds_Step1	KEGG_Pathways_Step1	CHEBI_Exact_From_Names	CHEBI_Fuzzy_From_Names	CHEBI_From_Names_All	CHEBI_ID_Step2	KEGG_Exact_From_Names	KEGG_Fuzzy_From_Names	KEGG_From_Names_All	KEGG_ID_Step2	ChEBI_ID_Step2_reactome	Reactome_Pathways_Step2	KEGG_Compounds_Step2	KEGG_Pathways_Step2	CHEBI_RO_Equivalents	CHEBI_ID_Step3	KEGG_ID_Step3	ChEBI_ID_Step3_reactome	Reactome_Pathways_Step3	KEGG_Compounds_Step3	KEGG_Pathways_Step3	CHEBI_is_a_Equivalents	CHEBI_ID_Step4	KEGG_ID_Step4	ChEBI_ID_Step4_reactome	Reactome_Pathways_Step4	KEGG_Compounds_Step4	KEGG_Pathways_Step4	CHEBI_IsA_Generalisation	Reactome_Pathways_IsA_Generalisation	n_pathways_isa_generalisation
cysteine s-sulfate	RM0041317	C3H7NO5S2	200.9766	Organic acids	Amino acids and peptides	Amino acids	115015	CHEBI:27891	HMDB0000731		C05824	NOKPBJYHPHHWAN-REOHCLBHSA-N	C([C@@H](C(=O)O)N)SS(=O)(=O)O	Cysteine-S-sulfate			C05824	map01100,map01230,map00270	CHEBI:27891	CHEBI:27891	CHEBI:27891	CHEBI:27891	C05824	C05824	C05824	C05824			C05824	map01100,map01230,map00270	CHEBI:62225	CHEBI:27891,CHEBI:62225	C05824			C05824	map01100,map01230,map00270		CHEBI:27891,CHEBI:62225	C05824			C05824	map01100,map01230,map00270	CHEBI:33575	R-HSA-6809371	1
levulinate (4-oxovalerate)	RM0152340	C5H8O3	116.0473	Fatty Acyls	Fatty acids	Oxo FA	11579	CHEBI:45630	HMDB0000720	LMFA01060006		JOOXCMJARBKPKM-UHFFFAOYSA-N	CC(=O)CCC(=O)O	Levulinic acid					CHEBI:45630	CHEBI:45630	CHEBI:45630	CHEBI:45630									CHEBI:39150	CHEBI:39150,CHEBI:45630							CHEBI:39150,CHEBI:45630						CHEBI:35366	R-HSA-1482883,R-HSA-167826,R-HSA-422085,R-HSA-426048,R-HSA-6809371,R-HSA-6811436,R-HSA-8963889,R-HSA-8964038	8
inosine	RM0135908	C10H12N4O5	268.0808	Nucleic acids	Purines	Purine ribonucleosides	135398641	CHEBI:17596	HMDB0000195		C00294	UGQMRVRMYYASKQ-KQYNXXCUSA-N	C([C@@H]1[C@H]([C@H]([C@H](n2cnc3c2ncnc3O)O1)O)O)O	Inosine	CHEBI:17596	R-HSA-2161541,R-HSA-5619063,R-HSA-5683826,R-HSA-74217,R-HSA-74259,R-HSA-83936,R-HSA-9735763,R-HSA-9755088	C00294	map01100,map01232,map00230,map02010	CHEBI:17596,CHEBI:17596,CHEBI:17596	CHEBI:17596,CHEBI:17596,CHEBI:17596	CHEBI:17596,CHEBI:17596,CHEBI:17596	CHEBI:17596	C00294	C00294	C00294	C00294	CHEBI:17596	R-HSA-2161541,R-HSA-5619063,R-HSA-5683826,R-HSA-74217,R-HSA-74259,R-HSA-83936,R-HSA-9735763,R-HSA-9755088	C00294	map01100,map01232,map00230,map02010		CHEBI:17596	C00294	CHEBI:17596	R-HSA-2161541,R-HSA-5619063,R-HSA-5683826,R-HSA-74217,R-HSA-74259,R-HSA-83936,R-HSA-9735763,R-HSA-9755088	C00294	map01100,map01232,map00230,map02010		CHEBI:17596	C00294	CHEBI:17596	R-HSA-2161541,R-HSA-5619063,R-HSA-5683826,R-HSA-74217,R-HSA-74259,R-HSA-83936,R-HSA-9735763,R-HSA-9755088	C00294	map01100,map01232,map00230,map02010			0
beta-citrylglutamate	RM0132229	C11H15NO10	321.0696	Organic acids	Amino acids and peptides	Amino acids	21125622	CHEBI:77065	HMDB0013220			GAQNUGISBQJMKO-UHFFFAOYSA-N	C(CC(=O)O)C(C(=O)O)NC(=O)C(CC(=O)O)(CC(=O)O)O	Beta-Citryl-glutamic acid					CHEBI:76942	CHEBI:76942	CHEBI:76942	CHEBI:76942,CHEBI:77065										CHEBI:76942,CHEBI:77065							CHEBI:76942,CHEBI:77065						CHEBI:25696,CHEBI:33575	R-HSA-382556,R-HSA-428643,R-HSA-5690338,R-HSA-6809371	4
N-acetylneuraminate	RM0135920	C11H19NO9	309.1060	Carbohydrates	Monosaccharides	Sugar acids	445063	CHEBI:45744	HMDB0000230		C19910	SQVRNKJHWKZAKO-PFQGKNLYSA-N	CC(=O)N[C@@H]1[C@H](C[C@](C(=O)O)(O)O[C@H]1[C@@H]([C@@H](CO)O)O)O	N-Acetylneuraminic acid					CHEBI:17012,CHEBI:17012,CHEBI:173082,CHEBI:173083,CHEBI:21619,CHEBI:35418	CHEBI:17012,CHEBI:17012,CHEBI:173082,CHEBI:173083,CHEBI:21619,CHEBI:35418	CHEBI:17012,CHEBI:17012,CHEBI:173082,CHEBI:173083,CHEBI:21619,CHEBI:35418	CHEBI:17012,CHEBI:21619,CHEBI:35418,CHEBI:45744,CHEBI:173082,CHEBI:173083	C00270,C19910	C00270,C19910	C00270,C19910	C00270,C19910	CHEBI:17012,CHEBI:35418	R-HSA-975577,R-HSA-4085001,R-HSA-428643,R-HSA-5619035,R-HSA-9840310	C00270	map01100,map01250,map00541	CHEBI:58705	CHEBI:17012,CHEBI:21619,CHEBI:35418,CHEBI:45744,CHEBI:58705,CHEBI:173082,CHEBI:173083	C00270,C19910	CHEBI:17012,CHEBI:35418	R-HSA-975577,R-HSA-4085001,R-HSA-428643,R-HSA-5619035,R-HSA-9840310	C00270	map01100,map01250,map00541	CHEBI:28062,CHEBI:28695,CHEBI:49026,CHEBI:58770,CHEBI:229228,CHEBI:229229,CHEBI:234417	CHEBI:17012,CHEBI:21619,CHEBI:28062,CHEBI:28695,CHEBI:35418,CHEBI:45744,CHEBI:49026,CHEBI:58705,CHEBI:58770,CHEBI:173082,CHEBI:173083,CHEBI:229228,CHEBI:229229,CHEBI:234417	C00270,C04521,C04580,C19910	CHEBI:17012,CHEBI:35418	R-HSA-975577,R-HSA-4085001,R-HSA-428643,R-HSA-5619035,R-HSA-9840310	C00270	map01100,map01250,map00541			0
6-oxopiperidine-2-carboxylate	RM0002464	C6H9NO3	143.0582	Organic acids	Amino acids and peptides	Amino acids	3014237	CHEBI:87998	HMDB0061705			FZXCPFJMYOQZCA-UHFFFAOYSA-N	C1CC(C(=O)O)NC(=O)C1	6-Oxopipecolinic acid					CHEBI:133178	CHEBI:133178	CHEBI:133178	CHEBI:87998,CHEBI:133178										CHEBI:87998,CHEBI:133178							CHEBI:87998,CHEBI:133178						CHEBI:25696,CHEBI:33575	R-HSA-382556,R-HSA-428643,R-HSA-5690338,R-HSA-6809371	4
4-hydroxyphenylpyruvate	RM0020531	C9H8O4	180.0423	Organic acids	Phenylpropanoids	Cinnamic acids	979	CHEBI:15999	HMDB0000707		C01179	KKADPXVIOXHVKN-UHFFFAOYSA-N	c1cc(ccc1CC(=O)C(=O)O)O	4-Hydroxyphenylpyruvic acid			C01179	map01100,map01110,map01210,map01230,map01240,map00350,map00400,map00130,map01055,map00950,map00261,map00401,map00998,map01060,map01063	CHEBI:15999,CHEBI:36242	CHEBI:15999,CHEBI:36242	CHEBI:15999,CHEBI:36242	CHEBI:15999,CHEBI:36242	C01179	C01179	C01179	C01179	CHEBI:36242	R-HSA-2142789,R-HSA-8963684	C01179	map01100,map01110,map01210,map01230,map01240,map00350,map00400,map00130,map01055,map00950,map00261,map00401,map00998,map01060,map01063		CHEBI:15999,CHEBI:36242	C01179	CHEBI:36242	R-HSA-2142789,R-HSA-8963684	C01179	map01100,map01110,map01210,map01230,map01240,map00350,map00400,map00130,map01055,map00950,map00261,map00401,map00998,map01060,map01063		CHEBI:15999,CHEBI:36242	C01179	CHEBI:36242	R-HSA-2142789,R-HSA-8963684	C01179	map01100,map01110,map01210,map01230,map01240,map00350,map00400,map00130,map01055,map00950,map00261,map00401,map00998,map01060,map01063			0
dodecadienoate (12:2)	RM0151474	C12H20O2	196.1463	Fatty Acyls	Fatty acids	Unsaturated FA								Dodecadienoic acid					CHEBI:37211	CHEBI:37211	CHEBI:37211	CHEBI:37211										CHEBI:37211						CHEBI:37210,CHEBI:37212	CHEBI:37210,CHEBI:37211,CHEBI:37212						CHEBI:59554	R-HSA-390247,R-HSA-77289	2
branched-chain, straight-chain, or cyclopropyl 12:1 fatty acid	-	-	-	-	-	-	-		-	-		-	-	-																																	0
10-undecenoate (11:1n1)	RM0153615	C11H20O2	184.1463	Fatty Acyls	Fatty acids	Unsaturated FA	5634	CHEBI:35045	HMDB0033724	LMFA01030036	C13910	FRPZMMHWLSIFAZ-UHFFFAOYSA-N	C=CCCCCCCCCC(=O)O	10-Hendecenoic acid					CHEBI:35045	CHEBI:35045	CHEBI:35045	CHEBI:35045	C13910	C13910	C13910	C13910					CHEBI:83041	CHEBI:35045,CHEBI:83041	C13910						CHEBI:35045,CHEBI:83041	C13910					CHEBI:59554	R-HSA-390247,R-HSA-77289	2
iminodiacetate (IDA)	RM0136360	C4H7NO4	133.0375	Organic acids	Amino acids and peptides	Amino acids	8897	CHEBI:24786	HMDB0011753		C19911	NBZBKCUXIYYUSX-UHFFFAOYSA-N	C(C(=O)O)NCC(=O)O	Iminodiacetic acid					CHEBI:24786	CHEBI:24786	CHEBI:24786	CHEBI:24786	C19911	C19911	C19911	C19911					CHEBI:24785,CHEBI:62745	CHEBI:24785,CHEBI:24786,CHEBI:62745	C19911						CHEBI:24785,CHEBI:24786,CHEBI:62745	C19911					CHEBI:33575	R-HSA-6809371	1
5-methyluridine (ribothymidine)	RM0138932	C10H14N2O6	258.0852	Nucleic acids	Pyrimidines	Pyrimidine ribonucleosides	445408	CHEBI:45996	HMDB0000884			DWRXFEITVBNRMK-JXOAFFINSA-N	Cc1cn([C@H]2[C@@H]([C@@H]([C@@H](CO)O2)O)O)c(=O)[nH]c1=O	Ribothymidine					CHEBI:45996	CHEBI:45996	CHEBI:45996	CHEBI:45996										CHEBI:45996							CHEBI:45996								0
3-hydroxylaurate	RM0155761	C12H24O3	216.1725	Fatty Acyls	Fatty acids	Hydroxy FA	94216	CHEBI:36206	HMDB0000387	LMFA01050037		MUCMKTPAZLSKTL-UHFFFAOYSA-N	CCCCCCCCCC(CC(=O)O)O	3-Hydroxydodecanoic acid					CHEBI:36206,CHEBI:76616	CHEBI:36206,CHEBI:76616	CHEBI:36206,CHEBI:76616	CHEBI:36206,CHEBI:76616										CHEBI:36206,CHEBI:76616						CHEBI:36210,CHEBI:43197	CHEBI:36206,CHEBI:36210,CHEBI:43197,CHEBI:76616						CHEBI:28868,CHEBI:59554	R-HSA-1222387,R-HSA-1222556,R-HSA-1483191,R-HSA-167826,R-HSA-390247,R-HSA-77289,R-HSA-8941413,R-HSA-9840310,R-HSA-9845614	9
