metabolite_id	p_value	method_used	n_features	n_per_group	p_adj	significant
Obscuraminol A	8.042719052578628e-17	single	1	AS_Female:20,FU_Male:20	1.9471422826292856e-13	True
Presphaerol	8.070555528955435e-16	single	1	AS_Female:20,FU_Male:20	9.769407467800554e-13	True
5-(1-oxopropan-2-yl)isolongifol-5-ene	1.2704144885645269e-14	single	1	AS_Female:20,FU_Male:20	1.0252244922715732e-11	True
9R,10S-Epoxy-3Z,6Z-eicosadiene	7.835155256294362e-13	single	1	AS_Female:20,FU_Male:20	4.742227718872163e-10	True
11Z,19-Eicosadienyl acetate	2.9746642715977833e-12	single	1	AS_Female:20,FU_Male:20	1.4403324403076467e-09	True
3E,6Z-Heneicosadien-11-one	6.404510989312366e-12	single	1	AS_Female:20,FU_Male:20	2.5842201841875398e-09	True
Anandamide (20:2, n-6)	4.729992976848383e-10	single	1	AS_Female:20,FU_Male:20	1.5214556383042988e-07	True
C16 Sphinganine	5.027527925003879e-10	single	1	AS_Female:20,FU_Male:20	1.5214556383042988e-07	True
Sulfometuron methyl	3.1117516311560434e-09	single	1	AS_Female:20,FU_Male:20	8.370611887809757e-07	True
Citpressine II	6.278584252340244e-09	single	1	AS_Female:20,FU_Male:20	1.520045247491573e-06	True
Hippeastrine	8.170459999029695e-09	single	1	AS_Female:20,FU_Male:20	1.7982439688773538e-06	True
Dexrazoxane	1.5478602621997116e-08	single	1	AS_Female:20,FU_Male:20	3.122808078987918e-06	True
3alpha-Hydroxy-7,12-dioxo-5beta-cholan-24-oic Acid	1.8567919860911855e-08	single	1	AS_Female:20,FU_Male:20	3.4579179987128924e-06	True
Hexadecanedioic acid	2.271497201498431e-08	single	1	AS_Female:20,FU_Male:20	3.8370924740413095e-06	True
2',7-Dihydroxy-4'-methoxy-8-prenylflavan 2',7-diglucoside	2.3773807150193986e-08	single	1	AS_Female:20,FU_Male:20	3.8370924740413095e-06	True
16-phenyl-tetranor-PGE2	2.792540128053591e-08	single	1	AS_Female:20,FU_Male:20	4.032760943065887e-06	True
3-O-Acetylhamayne	2.8704274065108043e-08	single	1	AS_Female:20,FU_Male:20	4.032760943065887e-06	True
Dihydroisolysergic acid II	2.998335273654935e-08	single	1	AS_Female:20,FU_Male:20	4.032760943065887e-06	True
8-hydroxy-17-octadecene-9,11-diynoic acid	3.32250233807906e-08	single	1	AS_Female:20,FU_Male:20	4.23356745288916e-06	True
Ribothymidine	3.6214693718034404e-08	single	1	AS_Female:20,FU_Male:20	4.383788674568065e-06	True
URB597	5.444493959437389e-08	single	1	AS_Female:20,FU_Male:20	6.276723750379961e-06	True
3'-O-methylbatatasin III	6.577896892556653e-08	single	1	AS_Female:20,FU_Male:20	7.2386765349452986e-06	True
(10S)-Juvenile hormone III diol	7.636364370602433e-08	single	1	AS_Female:20,FU_Male:20	8.03810353966456e-06	True
Neopterin	9.931497687526066e-08	single	1	AS_Female:20,FU_Male:20	1.0018398292291919e-05	True
Ichangin 4-glucoside	1.198919750257591e-07	single	1	AS_Female:20,FU_Male:20	1.1610338861494512e-05	True
(R)-(+)-alpha-Terpineol	1.4022541037972638e-07	single	1	AS_Female:20,FU_Male:20	1.3057143020358367e-05	True
11S-HpODE	1.715640834539564e-07	single	1	AS_Female:20,FU_Male:20	1.536298234242941e-05	True
Bifenazate	1.785453785128382e-07	single	1	AS_Female:20,FU_Male:20	1.536298234242941e-05	True
Biocytin	1.8402581079324777e-07	single	1	AS_Female:20,FU_Male:20	1.536298234242941e-05	True
Indolelactic acid	2.0236451683948672e-07	aggregate	2	AS_Female:20,FU_Male:20	1.6330816508946577e-05	True
Heptadecanoic acid	2.1044256573184442e-07	aggregate	2	AS_Female:20,FU_Male:20	1.643488553667082e-05	True
Bixindial/ Bixin aldehyde	2.24149552195505e-07	single	1	AS_Female:20,FU_Male:20	1.6958314558291174e-05	True
XYLOCARPUS A	2.4555969037496473e-07	single	1	AS_Female:20,FU_Male:20	1.7265251599312983e-05	True
2Z-octadecenoic acid	2.494052384957288e-07	single	1	AS_Female:20,FU_Male:20	1.7265251599312983e-05	True
Etiocholan-3alpha-ol-17-one 3-glucuronide	2.5072079733496245e-07	single	1	AS_Female:20,FU_Male:20	1.7265251599312983e-05	True
Androsterone 3-glucuronide	2.567323657890406e-07	single	1	AS_Female:20,FU_Male:20	1.7265251599312983e-05	True
Muricin E	3.002453035037483e-07	single	1	AS_Female:20,FU_Male:20	1.9645780534664177e-05	True
4,5-(methanoxy-2-methylethano)isolongifol-4-ene	3.127626784467633e-07	single	1	AS_Female:20,FU_Male:20	1.9926274855779313e-05	True
6-Hydroxymelatonin	3.8848714461938344e-07	single	1	AS_Female:20,FU_Male:20	2.411608659291096e-05	True
Remifentanil	4.2982948390380894e-07	single	1	AS_Female:20,FU_Male:20	2.6015429513278037e-05	True
coumarin-SAHA	4.423986067578895e-07	single	1	AS_Female:20,FU_Male:20	2.6123098218557328e-05	True
MG(0:0/18:1(9Z)/0:0)	4.960237460422312e-07	single	1	AS_Female:20,FU_Male:20	2.8592225932577182e-05	True
trans-9-palmitoleic acid	5.257460588610451e-07	single	1	AS_Female:20,FU_Male:20	2.9600725779130007e-05	True
Chlorbufam	6.155357746739403e-07	single	1	AS_Female:20,FU_Male:20	3.3868457056491126e-05	True
N-Phospho-D-lombricine	6.66930640698925e-07	single	1	AS_Female:20,FU_Male:20	3.5880868469602164e-05	True
Rapanone	6.997443803564357e-07	single	1	AS_Female:20,FU_Male:20	3.678356057485357e-05	True
(S)-Annocherine A	7.256838817888996e-07	single	1	AS_Female:20,FU_Male:20	3.678356057485357e-05	True
Melicopicine	7.336714894702793e-07	single	1	AS_Female:20,FU_Male:20	3.678356057485357e-05	True
9E,11E-Octadecadienoic acid	7.496938171921845e-07	single	1	AS_Female:20,FU_Male:20	3.678356057485357e-05	True
Longifolonine	7.596770048503421e-07	single	1	AS_Female:20,FU_Male:20	3.678356057485357e-05	True
9,10-DHOME	7.83410022669161e-07	single	1	AS_Female:20,FU_Male:20	3.718893460553017e-05	True
PGF1a alcohol	8.484557785798122e-07	single	1	AS_Female:20,FU_Male:20	3.950214307580241e-05	True
Oxytetracycline	9.185312224801116e-07	single	1	AS_Female:20,FU_Male:20	4.1957813011780184e-05	True
Desmedipham	1.1215975414340917e-06	single	1	AS_Female:20,FU_Male:20	5.023916379557901e-05	True
6-amino-hexanoic acid	1.1413275542159627e-06	single	1	AS_Female:20,FU_Male:20	5.023916379557901e-05	True
5-NITRO-2-PHENYLPROPYLAMINOBENZOIC ACID [NPPB]	1.2134037071524432e-06	single	1	AS_Female:20,FU_Male:20	5.2458042411001155e-05	True
Eremopetasinorol	1.2571750716320317e-06	single	1	AS_Female:20,FU_Male:20	5.339685698984472e-05	True
(S)-Spinacine	1.3206549143579898e-06	single	1	AS_Female:20,FU_Male:20	5.478495358650559e-05	True
Testosterone sulfate	1.3351145235868774e-06	single	1	AS_Female:20,FU_Male:20	5.478495358650559e-05	True
N-Butyl-beta-carboline-3-carboxylate	1.4701437845431481e-06	single	1	AS_Female:20,FU_Male:20	5.9320301706316026e-05	True
1,8-ANS	1.538201006378389e-06	single	1	AS_Female:20,FU_Male:20	6.10489284662636e-05	True
Undecanedioic acid	1.5768745322209295e-06	single	1	AS_Female:20,FU_Male:20	6.157440713720759e-05	True
IM-54	1.636178597541869e-06	single	1	AS_Female:20,FU_Male:20	6.287600610553754e-05	True
()8,9-DiHETrE	1.8179698096703788e-06	single	1	AS_Female:20,FU_Male:20	6.845566028962297e-05	True
Dihydrostreptomycin 6-phosphate	1.8379256170282912e-06	single	1	AS_Female:20,FU_Male:20	6.845566028962297e-05	True
