pathway_id,pathway_size,foreground_size,background_size,foreground_in_pathway,foreground_not_in_pathway,background_in_pathway_not_foreground,background_not_in_pathway_not_foreground,oddsratio,p_value,q_value
R-HSA-352230,14,947,2469,10,937,4,1518,4.050160085378868,0.012389657809836689,0.5232163699740446
R-HSA-9679191,7,947,2469,6,941,1,1521,9.698193411264612,0.014843207569545238,0.5232163699740446
R-HSA-379716,13,947,2469,9,938,4,1518,3.6412579957356077,0.023735962010635468,0.5232163699740446
R-HSA-379726,13,947,2469,9,938,4,1518,3.6412579957356077,0.023735962010635468,0.5232163699740446
R-HSA-381771,8,947,2469,6,941,2,1520,4.845908607863975,0.04012059123949321,0.5232163699740446
R-HSA-499943,3,947,2469,3,944,0,1522,inf,0.05631674288129276,0.5232163699740446
R-HSA-3371497,3,947,2469,3,944,0,1522,inf,0.05631674288129276,0.5232163699740446
R-HSA-73817,5,947,2469,4,943,1,1521,6.451749734888653,0.07480282497698187,0.5232163699740446
R-HSA-442660,13,947,2469,8,939,5,1517,2.584877529286475,0.07715421718730342,0.5232163699740446
R-HSA-444209,7,947,2469,5,942,2,1520,4.033970276008493,0.08090787699142622,0.5232163699740446
R-HSA-5619044,9,947,2469,6,941,3,1519,3.228480340063762,0.0817531234657654,0.5232163699740446
R-HSA-5659735,9,947,2469,6,941,3,1519,3.228480340063762,0.0817531234657654,0.5232163699740446
R-HSA-416476,10,947,2469,6,941,4,1518,2.4197662061636556,0.13959441900086358,0.5232163699740446
R-HSA-9694301,2,947,2469,2,945,0,1522,inf,0.14701947586047537,0.5232163699740446
R-HSA-73843,2,947,2469,2,945,0,1522,inf,0.14701947586047537,0.5232163699740446
R-HSA-177128,2,947,2469,2,945,0,1522,inf,0.14701947586047537,0.5232163699740446
R-HSA-177135,2,947,2469,2,945,0,1522,inf,0.14701947586047537,0.5232163699740446
R-HSA-177162,2,947,2469,2,945,0,1522,inf,0.14701947586047537,0.5232163699740446
R-HSA-2046106,2,947,2469,2,945,0,1522,inf,0.14701947586047537,0.5232163699740446
R-HSA-2408557,2,947,2469,2,945,0,1522,inf,0.14701947586047537,0.5232163699740446
R-HSA-5628897,2,947,2469,2,945,0,1522,inf,0.14701947586047537,0.5232163699740446
R-HSA-70171,2,947,2469,2,945,0,1522,inf,0.14701947586047537,0.5232163699740446
R-HSA-70263,2,947,2469,2,945,0,1522,inf,0.14701947586047537,0.5232163699740446
R-HSA-8951664,2,947,2469,2,945,0,1522,inf,0.14701947586047537,0.5232163699740446
R-HSA-8963693,2,947,2469,2,945,0,1522,inf,0.14701947586047537,0.5232163699740446
R-HSA-189200,2,947,2469,2,945,0,1522,inf,0.14701947586047537,0.5232163699740446
R-HSA-5619047,2,947,2469,2,945,0,1522,inf,0.14701947586047537,0.5232163699740446
R-HSA-194002,2,947,2469,2,945,0,1522,inf,0.14701947586047537,0.5232163699740446
R-HSA-8849473,2,947,2469,2,945,0,1522,inf,0.14701947586047537,0.5232163699740446
R-HSA-8939902,2,947,2469,2,945,0,1522,inf,0.14701947586047537,0.5232163699740446
R-HSA-9615017,2,947,2469,2,945,0,1522,inf,0.14701947586047537,0.5232163699740446
R-HSA-9768777,2,947,2469,2,945,0,1522,inf,0.14701947586047537,0.5232163699740446
R-HSA-5619041,2,947,2469,2,945,0,1522,inf,0.14701947586047537,0.5232163699740446
R-HSA-71288,2,947,2469,2,945,0,1522,inf,0.14701947586047537,0.5232163699740446
R-HSA-5619094,9,947,2469,5,942,4,1518,2.0143312101910826,0.23280364046825122,0.7284584325486866
R-HSA-420499,7,947,2469,4,943,3,1519,2.1477553905973843,0.25838807762991894,0.7284584325486866
R-HSA-196807,5,947,2469,3,944,2,1520,2.4152542372881354,0.2892752190848624,0.7284584325486866
R-HSA-4090294,3,947,2469,2,945,1,1521,3.219047619047619,0.3284249418188406,0.7284584325486866
R-HSA-159418,3,947,2469,2,945,1,1521,3.219047619047619,0.3284249418188406,0.7284584325486866
R-HSA-196757,3,947,2469,2,945,1,1521,3.219047619047619,0.3284249418188406,0.7284584325486866
R-HSA-428559,3,947,2469,2,945,1,1521,3.219047619047619,0.3284249418188406,0.7284584325486866
R-HSA-8964539,3,947,2469,2,945,1,1521,3.219047619047619,0.3284249418188406,0.7284584325486866
R-HSA-70221,3,947,2469,2,945,1,1521,3.219047619047619,0.3284249418188406,0.7284584325486866
R-HSA-196780,3,947,2469,2,945,1,1521,3.219047619047619,0.3284249418188406,0.7284584325486866
R-HSA-9748787,3,947,2469,2,945,1,1521,3.219047619047619,0.3284249418188406,0.7284584325486866
R-HSA-9749641,3,947,2469,2,945,1,1521,3.219047619047619,0.3284249418188406,0.7284584325486866
R-HSA-211994,3,947,2469,2,945,1,1521,3.219047619047619,0.3284249418188406,0.7284584325486866
R-HSA-6798163,3,947,2469,2,945,1,1521,3.219047619047619,0.3284249418188406,0.7284584325486866
R-HSA-5223345,3,947,2469,2,945,1,1521,3.219047619047619,0.3284249418188406,0.7284584325486866
R-HSA-71240,8,947,2469,4,943,4,1518,1.6097560975609757,0.36788946868185646,0.7284584325486866
R-HSA-9717207,8,947,2469,4,943,4,1518,1.6097560975609757,0.36788946868185646,0.7284584325486866
R-HSA-74217,6,947,2469,3,944,3,1519,1.6091101694915255,0.4215796180475159,0.7284584325486866
R-HSA-193807,4,947,2469,2,945,2,1520,1.6084656084656084,0.4962581010175471,0.7284584325486866
