pathway_id,pathway_size,foreground_size,background_size,foreground_in_pathway,foreground_not_in_pathway,background_in_pathway_not_foreground,background_not_in_pathway_not_foreground,oddsratio,p_value,q_value
map00470,24,301,954,17,284,7,646,5.5241448692152915,7.25997147504898e-05,0.008142784721859399
map01100,266,301,954,109,192,157,496,1.7935244161358812,8.0621630909499e-05,0.008142784721859399
map00630,7,301,954,7,294,0,653,inf,0.0002966118402501075,0.019971863910173908
map05230,16,301,954,12,289,4,649,6.737024221453288,0.00040282911641914586,0.020342870379166867
map00260,9,301,954,8,293,1,652,17.802047781569964,0.0006005924416672321,0.024263934643356178
map01230,22,301,954,14,287,8,645,3.932926829268293,0.0017331549197283438,0.05834954896418758
map00970,14,301,954,10,291,4,649,5.5756013745704465,0.0023810598711585845,0.06871058485343344
map01200,13,301,954,9,292,4,649,5.000856164383562,0.005578571685185184,0.10666727709015991
map04080,13,301,954,9,292,4,649,5.000856164383562,0.005578571685185184,0.10666727709015991
map04726,9,301,954,7,294,2,651,7.75,0.005675295625495647,0.10666727709015991
map01063,11,301,954,8,293,3,650,5.915813424345847,0.005808614098969104,0.10666727709015991
map04974,18,301,954,11,290,7,646,3.5004926108374383,0.008658935666237945,0.11835267381235752
map04216,4,301,954,4,297,0,653,inf,0.009774993157234861,0.11835267381235752
map04152,4,301,954,4,297,0,653,inf,0.009774993157234861,0.11835267381235752
map01250,4,301,954,4,297,0,653,inf,0.009774993157234861,0.11835267381235752
map00901,4,301,954,4,297,0,653,inf,0.009774993157234861,0.11835267381235752
map00591,16,301,954,10,291,6,647,3.7056128293241697,0.009960373538663752,0.11835267381235752
map01120,67,301,954,30,271,37,616,1.8430238356437618,0.012777715767062041,0.13705629853853227
map04925,6,301,954,5,296,1,652,11.013513513513514,0.013569930548369533,0.13705629853853227
map00905,6,301,954,5,296,1,652,11.013513513513514,0.013569930548369533,0.13705629853853227
map01040,17,301,954,10,291,7,646,3.171330387825233,0.017525183008037088,0.16857556988683295
map04978,13,301,954,8,293,5,648,3.538566552901024,0.02406302735275602,0.22094234205712346
map04068,3,301,954,3,298,0,653,inf,0.031194692927954203,0.22154326614176842
