Input name	RefMet_ID	Formula	Exact mass	Super class	Main class	Sub class	PubChem_CID	ChEBI_ID	HMDB_ID	LM_ID	KEGG_ID	INCHI_KEY	SMILES	Standardized name	ChEBI_ID_Step1_reactome	Reactome_Pathways_Step1	KEGG_Compounds_Step1	KEGG_Pathways_Step1	CHEBI_Exact_From_Names	CHEBI_Fuzzy_From_Names	CHEBI_From_Names_All	CHEBI_ID_Step2	KEGG_Exact_From_Names	KEGG_Fuzzy_From_Names	KEGG_From_Names_All	KEGG_ID_Step2	ChEBI_ID_Step2_reactome	Reactome_Pathways_Step2	KEGG_Compounds_Step2	KEGG_Pathways_Step2	CHEBI_RO_Equivalents	CHEBI_ID_Step3	KEGG_ID_Step3	ChEBI_ID_Step3_reactome	Reactome_Pathways_Step3	KEGG_Compounds_Step3	KEGG_Pathways_Step3	CHEBI_is_a_Equivalents	CHEBI_ID_Step4	KEGG_ID_Step4	ChEBI_ID_Step4_reactome	Reactome_Pathways_Step4	KEGG_Compounds_Step4	KEGG_Pathways_Step4	CHEBI_IsA_Generalisation	Reactome_Pathways_IsA_Generalisation	n_pathways_isa_generalisation
Obscuraminol A	RM0121081	C18H31NO	277.2406	Sphingolipids	Sphingoid bases	Sphingoid base analogs	10062076	CHEBI:73892		LMSP01080035		YNNQTVPKSXTDCK-SABUVIKOSA-N	CC/C=C\C/C=C\C/C=C\C/C=C\CC[C@H]([C@H](C)N)O	Obscuraminol A					CHEBI:73892	CHEBI:73892	CHEBI:73892	CHEBI:73892										CHEBI:73892							CHEBI:73892						CHEBI:35785	R-HSA-1660661	1
Presphaerol	-	-	-	-	-	-	-		-	-		-	-	-					CHEBI:188193	CHEBI:188193	CHEBI:188193	CHEBI:188193										CHEBI:188193							CHEBI:188193						CHEBI:30879	R-HSA-1483166,R-HSA-2022377,R-HSA-8935690	3
5-(1-oxopropan-2-yl)isolongifol-5-ene	-	-	-	-	-	-	-		-	-		-	-	-					CHEBI:48329	CHEBI:48329	CHEBI:48329	CHEBI:48329										CHEBI:48329							CHEBI:48329						CHEBI:18059	R-HSA-1222556,R-HSA-1369062,R-HSA-5682294,R-HSA-804914,R-HSA-8941413	5
9R,10S-Epoxy-3Z,6Z-eicosadiene	-	-	-	-	-	-	-		-	-		-	-	-					CHEBI:188203	CHEBI:188203	CHEBI:188203	CHEBI:188203										CHEBI:188203							CHEBI:188203								0
11Z,19-Eicosadienyl acetate	-	-	-	-	-	-	-		-	-		-	-	-					CHEBI:188235	CHEBI:188235	CHEBI:188235	CHEBI:188235										CHEBI:188235							CHEBI:188235								0
3E,6Z-Heneicosadien-11-one	-	-	-	-	-	-	-		-	-		-	-	-					CHEBI:188249	CHEBI:188249	CHEBI:188249	CHEBI:188249										CHEBI:188249							CHEBI:188249								0
Anandamide (20:2, n-6)	RM0153135	C22H41NO2	351.3137	Fatty Acyls	Fatty amides	NAE	5283444	CHEBI:73733		LMFA08040002		MWQCBVWCBTUPDQ-HZJYTTRNSA-N	CCCCC/C=C\C/C=C\CCCCCCCCCC(=O)NCCO	Eicosadienoyl-EA								CHEBI:73733										CHEBI:73733							CHEBI:73733						CHEBI:18059,CHEBI:30879	R-HSA-1222556,R-HSA-1369062,R-HSA-1483166,R-HSA-2022377,R-HSA-5682294,R-HSA-804914,R-HSA-8935690,R-HSA-8941413	8
C16 Sphinganine	RM0135377	C16H35NO2	273.2668	Sphingolipids	Sphingoid bases	Sphinganines	656816	CHEBI:71050		LMSP01040001	C13915	ZKLREJQHRKUJHD-JKSUJKDBSA-N	CCCCCCCCCCCCC[C@H]([C@H](CO)N)O	C16 Sphinganine					CHEBI:71009,CHEBI:71050	CHEBI:71009,CHEBI:71050	CHEBI:71009,CHEBI:71050	CHEBI:71009,CHEBI:71050	C13915	C13915	C13915	C13915						CHEBI:71009,CHEBI:71050	C13915						CHEBI:71009,CHEBI:71050	C13915					CHEBI:35785,CHEBI:84410	R-HSA-1660661,R-HSA-5218921,R-HSA-9009391,R-HSA-9840310,R-HSA-9845614	5
Sulfometuron methyl	RM0137165	C15H16N4O5S	364.0841	Organic nitrogen compounds	Organonitrogen compounds	Sulfonylureas	52997	CHEBI:9348	HMDB0258595		C10955	ZDXMLEQEMNLCQG-UHFFFAOYSA-N	Cc1cc(C)nc(n1)NC(=O)NS(=O)(=O)c1ccccc1C(=O)OC	Sulfometuron methyl					CHEBI:9348	CHEBI:9348	CHEBI:9348	CHEBI:9348	C10955	C10955	C10955	C10955						CHEBI:9348	C10955						CHEBI:9348	C10955							0
Citpressine II	-	-	-	-	-	-	-		-	-		-	-	-					CHEBI:172546	CHEBI:172546	CHEBI:172546	CHEBI:172546										CHEBI:172546							CHEBI:172546								0
