metabolite_id	p_value	method_used	n_features	n_per_group	p_adj	significant
DG(41:5)	3.383123765477234e-14	single	1	HEALTHY:20,ICU-COVID-19:18	2.243011056511406e-11	True
1-(2,5-Dimethoxyphenyl)-1-[(trimethylsilyl)oxy]propan-2-amine	1.452557813468263e-13	single	1	HEALTHY:20,ICU-COVID-19:18	4.815229151647291e-11	True
FA(18:1)	1.7002986201520624e-12	single	1	HEALTHY:20,ICU-COVID-19:18	3.757659950536058e-10	True
PC(17:1_18:2)	1.6729905757559855e-11	single	1	HEALTHY:20,ICU-COVID-19:18	2.772981879315546e-09	True
2,2,4,6,6-pentamethyl-Heptane	2.348977310015572e-11	single	1	HEALTHY:20,ICU-COVID-19:18	3.1147439130806483e-09	True
FA(18:2)	3.1806021935809837e-11	single	1	HEALTHY:20,ICU-COVID-19:18	3.5145654239069867e-09	True
DG(20:5_22:6)	4.601436398636329e-11	single	1	HEALTHY:20,ICU-COVID-19:18	4.358217617565552e-09	True
Octadecanoic acid	9.210390679235552e-11	single	1	HEALTHY:20,ICU-COVID-19:18	7.633111275416464e-09	True
(E)-11-Octadecenoic acid	2.0733373396408627e-10	single	1	HEALTHY:20,ICU-COVID-19:18	1.4723241891203523e-08	True
NAE(22:5)	2.2207001344198376e-10	single	1	HEALTHY:20,ICU-COVID-19:18	1.4723241891203523e-08	True
Heptadecanoic acid	3.565066833540199e-10	single	1	HEALTHY:20,ICU-COVID-19:18	2.148763009670138e-08	True
DG(34:0_18:1)	4.281344251397549e-10	single	1	HEALTHY:20,ICU-COVID-19:18	2.284486318463148e-08	True
DG(17:0)	4.4793849381630353e-10	single	1	HEALTHY:20,ICU-COVID-19:18	2.284486318463148e-08	True
FA(20:4)	8.780930474814508e-10	single	1	HEALTHY:20,ICU-COVID-19:18	4.158397789144299e-08	True
trans-13-Octadecenoic acid	1.4152788656756512e-09	single	1	HEALTHY:20,ICU-COVID-19:18	6.255532586286379e-08	True
2-Hydroxy-3-methylbutyric acid	2.5928429812571147e-09	single	1	HEALTHY:20,ICU-COVID-19:18	1.0744093103584169e-07	True
DG(24:3)	3.925954718485922e-09	single	1	HEALTHY:20,ICU-COVID-19:18	1.5311223402095097e-07	True
D-(-)-Ribofuranose	4.60508334779553e-09	single	1	HEALTHY:20,ICU-COVID-19:18	1.6962056997713536e-07	True
DG(16:0_34:1)	7.0016420875587235e-09	single	1	HEALTHY:20,ICU-COVID-19:18	2.443204581079702e-07	True
NAE(22:4)	1.0703968498836686e-08	single	1	HEALTHY:20,ICU-COVID-19:18	3.5483655573643614e-07	True
Glycerol	1.3961149231661901e-08	single	1	HEALTHY:20,ICU-COVID-19:18	4.407734257424686e-07	True
3-Hydroxyisovaleric acid	1.5989324386429284e-08	single	1	HEALTHY:20,ICU-COVID-19:18	4.818600940092098e-07	True
1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester	1.7390505941224425e-08	single	1	HEALTHY:20,ICU-COVID-19:18	5.013002364796432e-07	True
DG(37:7)	1.9654322958570777e-08	single	1	HEALTHY:20,ICU-COVID-19:18	5.429506717305177e-07	True
D-(+)-Talofuranose	2.3750099079808476e-08	single	1	HEALTHY:20,ICU-COVID-19:18	6.298526275965208e-07	True
3,4-Dihydroxybutanoic acid	3.8784299631911604e-08	single	1	HEALTHY:20,ICU-COVID-19:18	9.889996406137458e-07	True
TG(18:0_18:1_20:3)	1.0688001970317243e-07	single	1	HEALTHY:20,ICU-COVID-19:18	2.533789830150344e-06	True
TG(16:0_18:1_24:5)	1.0700771530046703e-07	single	1	HEALTHY:20,ICU-COVID-19:18	2.533789830150344e-06	True
2,6-dimethyl-Nonane	1.1922000217218712e-07	single	1	HEALTHY:20,ICU-COVID-19:18	2.7256159117296575e-06	True
TG(18:1_18:2_22:5)	1.6086772498851692e-07	single	1	HEALTHY:20,ICU-COVID-19:18	3.555176722246224e-06	True
2,5-Dimethoxymandelic acid	2.0617381552889605e-07	single	1	HEALTHY:20,ICU-COVID-19:18	4.4094593450212284e-06	True
Palmitic Acid	2.306450767672517e-07	single	1	HEALTHY:20,ICU-COVID-19:18	4.778677684271496e-06	True
Proline	3.25590372396806e-07	single	1	HEALTHY:20,ICU-COVID-19:18	6.5414065726994665e-06	True
3,5-di-tert-Butyl-4-hydroxyacetophenone	3.4998078800229674e-07	single	1	HEALTHY:20,ICU-COVID-19:18	6.824625366044787e-06	True
TG(18:1_19:1_18:2)	4.64835758890316e-07	single	1	HEALTHY:20,ICU-COVID-19:18	8.805317375550843e-06	True
